Player,Pos,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,SCA,SCA90,_TakeOn
"Giovanni Fabbian (Bologna)","MF,FW",53,58,40,47,45,49,24,49
"Romain Faivre (Bournemouth)","MF,FW",28,21,24,28,0,9,31,9
"Romain Faivre (Lorient)","MF,FW",92,93,88,88,67,69,47,69
"Ilhan Fakili (Clermont Foot)","MF,FW",26,14,16,12,27,14,23,14
"Radamel Falcao (Rayo Vallecano)","FW,DF",30,28,31,28,45,38,53,38
"Ansu Fati (Brighton)","MF,FW",45,37,50,32,62,49,78,49
"Ansu Fati (Barcelona)","MF,FW",18,14,28,28,27,9,21,9
"Khalil Fayad (Montpellier)","FW,MF",52,53,54,56,39,44,18,44
"Peter Federico (Valencia)","MF,FW",59,61,56,41,62,39,24,39
"Nabil Fekir (Betis)","MF,FW",65,76,69,75,55,79,92,79
"João Félix (Barcelona)",FW,91,84,88,91,90,80,72,80
"Evan Ferguson (Brighton)",FW,43,44,45,44,45,48,15,48
"Bruno Fernandes (Manchester Utd)","MF,FW",74,74,92,94,84,100,96,100
"Carlos Fernández (Real Sociedad)",FW,33,28,26,24,0,17,10,17
"Valery Fernández (Girona)","MF,FW",47,44,57,47,55,39,41,39
"Ichem Ferrah (Lille)",FW,0,0,0,0,0,0,0,0
"Nacho Ferri (Eint Frankfurt)","FW,MF",9,0,0,0,0,14,39,14
"Rachad Fettal (Almería)",FW,0,0,0,0,0,14,99,14
"Seydou Fini (Genoa)","DF,FW",9,0,10,18,0,9,42,9
"Max Finkgräfe (Köln)","DF,FW",81,89,81,81,67,66,27,66
"Phil Foden (Manchester City)","FW,MF",93,94,94,98,98,99,87,99
"Malick Fofana (Lyon)",FW,42,47,63,62,64,44,59,44
"Michael Folorunsho (Hellas Verona)","MF,FW",86,78,84,85,59,71,16,71
"Tiago Fonseca Morais (Lille)",FW,18,0,20,0,18,9,24,9
"Pablo Fornals (West Ham)","MF,FW",37,41,24,38,27,40,66,40
"Pablo Fornals (Betis)","FW,MF",56,56,73,69,71,70,69,70
