Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
166,399,Jacob Bruun Larsen (Burnley),DEN,"MF,FW",Burnley,Premier League,24,1998,13.9,80,75,85,65,91
167,401,Ante Budimir (Osasuna),CRO,FW,Osasuna,La Liga,32,1991,27.1,61,53,58,52,78
168,404,Marius Bülter (Hoffenheim),GER,"DF,FW",Hoffenheim,Bundesliga,30,1993,15,76,72,73,78,71
169,405,Facundo Buonanotte (Brighton),ARG,"FW,MF",Brighton,Premier League,18,2004,15.2,78,72,60,73,59
170,407,Jonathan Burkardt (Mainz 05),GER,"FW,MF",Mainz 05,Bundesliga,23,2000,17.1,80,79,72,73,64
171,408,Oliver Burke (Werder Bremen),SCO,FW,Werder Bremen,Bundesliga,26,1997,0.4,9,14,16,12,0
172,411,Rareș-Cătălin Burnete (Lecce),ROU,FW,Lecce,Serie A,19,2004,0.1,0,0,0,0,0
173,412,Mason Burstow (Chelsea),ENG,FW,Chelsea,Premier League,19,2003,0.1,0,0,0,0,0
174,414,Maxime Busi (Reims),BEL,"FW,DF",Reims,Ligue 1,23,1999,1.8,21,28,20,18,34
175,418,Jamie Bynoe-Gittens (Dortmund),ENG,"FW,MF",Dortmund,Bundesliga,18,2004,11.8,93,93,86,89,94
176,419,Rémy Cabella (Lille),FRA,"FW,MF",Lille,Ligue 1,33,1990,16.4,76,76,89,91,83
177,420,Jovane Cabral (Salernitana),CPV,"MF,FW",Salernitana,Serie A,25,1998,7.5,67,76,59,47,55
178,432,José Callejón (Granada),ESP,"MF,FW",Granada,La Liga,36,1987,8.9,32,28,38,47,18
179,433,Dominic Calvert-Lewin (Everton),ENG,FW,Everton,Premier League,26,1997,24.1,73,63,72,66,83
180,437,Francesco Camarda (Milan),ITA,FW,Milan,Serie A,15,2008,0.2,9,0,0,0,0
181,439,Nicolò Cambiaghi (Empoli),ITA,"FW,MF",Empoli,Serie A,22,2000,28.4,90,84,98,90,96
182,440,Andrea Cambiaso (Juventus),ITA,"DF,FW",Juventus,Serie A,23,2000,26.4,82,82,93,91,84
183,441,Axel Camblan (Brest),FRA,FW,Brest,Ligue 1,19,2003,1,30,28,26,28,0
184,442,Sergio Camello (Rayo Vallecano),ESP,FW,Rayo Vallecano,La Liga,22,2001,18.5,77,68,59,65,64
185,445,Matteo Cancellieri (Empoli),ITA,"FW,MF",Empoli,Serie A,21,2002,19.9,93,90,79,82,89
186,448,Antonio Candreva (Salernitana),ITA,"MF,FW",Salernitana,Serie A,36,1987,30.6,71,65,88,88,79
187,449,Thomas Cannon (Everton),IRL,FW,Everton,Premier League,20,2002,0,0,0,0,0,0
188,450,Sergi Canós (Valencia),ESP,"MF,FW",Valencia,La Liga,26,1997,13.7,68,72,69,53,67
189,451,Luigi Canotto (Frosinone),ITA,FW,Frosinone,Serie A,29,1994,0.2,9,14,0,0,0
190,454,Gianluca Caprari (Monza),ITA,"MF,FW",Monza,Serie A,30,1993,3.2,30,28,40,44,45
191,456,Francesco Caputo (Empoli),ITA,FW,Empoli,Serie A,35,1987,14.1,33,37,31,35,39
192,459,Valentin Carboni (Monza),ARG,"MF,FW",Monza,Serie A,18,2005,13,77,80,81,80,79
193,463,Marc Cardona (Las Palmas),ESP,FW,Las Palmas,La Liga,28,1995,8,65,63,38,28,39
194,471,Álvaro Carreras (Granada),ESP,"MF,FW",Granada,La Liga,20,2003,5.3,40,44,45,56,18
195,472,Rasmus Carstensen (Köln),DEN,"DF,FW",Köln,Bundesliga,22,2000,18.4,60,61,69,74,34
196,477,Cesare Casadei (Chelsea),ITA,"FW,MF",Chelsea,Premier League,20,2003,0.9,14,21,10,0,0
197,483,Josué Casimir (Le Havre),FRA,"FW,DF",Le Havre,Ligue 1,21,2001,22.4,84,79,85,81,83
198,484,Giuseppe Caso (Frosinone),ITA,"FW,MF",Frosinone,Serie A,24,1998,4.6,67,65,48,56,50
199,488,Valentín Castellanos (Lazio),ARG,FW,Lazio,Serie A,24,1998,18.7,68,56,48,53,55
200,490,Samu Castillejo (Sassuolo),ESP,"FW,MF",Sassuolo,Serie A,28,1995,6,47,51,64,71,55
201,492,Santiago Castro (Bologna),ARG,FW,Bologna,Serie A,18,2004,2.7,18,21,10,18,0
202,493,Gaetano Castrovilli (Fiorentina),ITA,"FW,MF",Fiorentina,Serie A,26,1997,4.1,40,28,46,41,27
203,497,Ivan Cavaleiro (Lille),POR,FW,Lille,Ligue 1,29,1993,8.6,45,53,54,56,45
204,498,Dani Ceballos (Real Madrid),ESP,"MF,FW",Real Madrid,La Liga,26,1996,6.6,42,37,50,61,18
205,499,Emil Ceide (Sassuolo),NOR,"FW,MF",Sassuolo,Serie A,21,2001,2,49,61,43,35,45
206,504,Václav Černý (Wolfsburg),CZE,"FW,MF",Wolfsburg,Bundesliga,25,1997,10.2,64,63,63,64,64
207,506,Alberto Cerri (Empoli),ITA,FW,Empoli,Serie A,27,1996,6.1,26,14,20,38,18
208,511,Fares Chaïbi (Toulouse),ALG,"FW,MF",Toulouse,Ligue 1,20,2002,0.6,14,0,16,12,0
209,512,Fares Chaïbi (Eint Frankfurt),ALG,"MF,FW",Eint Frankfurt,Bundesliga,20,2002,21.2,48,44,82,84,69
210,514,Muhammed Cham (Clermont Foot),AUT,"MF,FW",Clermont Foot,Ligue 1,22,2000,28.4,84,88,89,98,71
211,521,Walid Cheddira (Frosinone),MAR,FW,Frosinone,Serie A,25,1998,23.6,67,58,68,56,83
212,522,Rayan Cherki (Lyon),FRA,"MF,FW",Lyon,Ligue 1,19,2003,19.1,98,99,94,97,91
213,523,Youssef Chermiti (Everton),POR,FW,Everton,Premier League,19,2004,2.3,35,28,26,12,34
214,526,Federico Chiesa (Juventus),ITA,FW,Juventus,Serie A,25,1997,24.4,92,89,96,92,98
215,528,Tawanda Chirewa (Wolves),ZIM,"MF,FW",Wolves,Premier League,19,2003,1.6,18,14,10,18,18
216,530,Leon Chiwome (Wolves),ENG,FW,Wolves,Premier League,17,2006,1.9,0,0,10,0,18
217,531,Tahith Chong (Luton Town),NED,"MF,FW",Luton Town,Premier League,23,1999,22,86,81,84,88,62
218,537,Carney Chukwuemeka (Chelsea),ENG,"MF,FW",Chelsea,Premier League,19,2003,2.5,37,21,24,32,27
219,538,Samuel Chukwueze (Milan),NGA,FW,Milan,Serie A,24,1999,11.3,83,76,81,74,85
220,541,Alphadjo Cissè (Hellas Verona),ITA,FW,Hellas Verona,Serie A,16,2006,0.1,0,0,0,0,0
221,543,Ibrahim Cissoko (Toulouse),NED,"FW,MF",Toulouse,Ligue 1,20,2003,2.7,60,70,58,44,71
222,553,Marcus Coco (Nantes),FRA,"DF,FW",Nantes,Ligue 1,27,1996,16.5,61,58,65,78,18
223,559,Lorenzo Colombo (Monza),ITA,FW,Monza,Serie A,21,2002,15.1,52,58,50,44,71
224,560,Andrea Colpani (Monza),ITA,"MF,FW",Monza,Serie A,24,1999,29.5,89,83,93,96,88
225,562,Kingsley Coman (Bayern Munich),FRA,FW,Bayern Munich,Bundesliga,27,1996,12.4,85,84,90,81,92
226,565,Pietro Comuzzo (Fiorentina),ITA,"DF,FW",Fiorentina,Serie A,18,2005,0.5,0,0,0,0,0
227,566,Alois Confais (Le Havre),FRA,"MF,FW",Le Havre,Ligue 1,26,1996,0.1,0,0,0,0,0
228,568,Bambasé Conté (Hoffenheim),GER,"MF,FW",Hoffenheim,Bundesliga,20,2003,0.5,26,21,20,18,27
229,575,Theo Corbeanu (Granada),CAN,"MF,FW",Granada,La Liga,21,2002,2,30,21,26,28,0
230,576,Jeppe Corfitzen (Lecce),DEN,FW,Lecce,Serie A,18,2004,0.1,0,0,10,12,0
231,578,Maxwel Cornet (West Ham),CIV,"MF,FW",West Ham,Premier League,26,1996,1.2,14,0,20,18,27
232,579,Giacomo Corona (Empoli),ITA,FW,Empoli,Serie A,19,2004,0.1,0,0,0,0,0
233,581,Ángel Correa (Atlético Madrid),ARG,"FW,MF",Atlético Madrid,La Liga,28,1995,17,80,83,75,59,87
234,582,Joaquín Correa (Marseille),ARG,"FW,MF",Marseille,Ligue 1,28,1994,4.8,42,37,36,47,27
235,584,Oscar Cortés (Lens),COL,"FW,MF",Lens,Ligue 1,19,2003,0.5,0,0,10,0,0
236,588,João Costa (Roma),BRA,"MF,FW",Roma,Serie A,18,2005,0.2,0,0,0,0,0
237,597,Tanguy Coulibaly (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,22,2001,6.9,56,70,64,71,73
238,599,Philippe Coutinho (Aston Villa),BRA,"MF,FW",Aston Villa,Premier League,31,1992,0.3,23,33,26,28,0
239,600,Yan Couto (Girona),BRA,"DF,FW",Girona,La Liga,21,2002,24.9,96,95,99,99,95
240,605,Aaron Cresswell (West Ham),ENG,"DF,FW",West Ham,Premier League,33,1989,4.8,9,0,24,32,0
241,609,Juan Cruz (Hellas Verona),ARG,"FW,MF",Hellas Verona,Serie A,24,1999,1.2,14,14,20,18,0
242,610,Juan Cruz (Betis),ESP,FW,Betis,La Liga,23,2000,0.8,28,33,16,24,0
243,617,Matheus Cunha (Wolves),BRA,"FW,MF",Wolves,Premier League,24,1999,27.1,98,98,95,98,93
244,618,Marvin Cuni (Frosinone),ALB,FW,Frosinone,Serie A,22,2001,5.9,40,28,28,32,27
245,621,Tomáš Čvančara (Gladbach),CZE,FW,Gladbach,Bundesliga,22,2000,10,43,37,43,38,55
246,624,Trévis Dago (Lille),CIV,"FW,MF",Lille,Ligue 1,18,2005,0.3,9,14,10,12,0
247,629,Thijs Dallinga (Toulouse),NED,FW,Toulouse,Ligue 1,22,2000,27.9,68,75,69,71,62
248,635,Arnaut Danjuma (Everton),NED,"MF,FW",Everton,Premier League,26,1997,6.6,49,47,62,57,67
249,636,Jayden Danns (Liverpool),ENG,FW,Liverpool,Premier League,17,2006,0.1,0,0,0,12,0
250,640,Mohammed Daramy (Reims),DEN,"FW,MF",Reims,Ligue 1,21,2002,18.3,92,96,89,87,91
251,642,Achraf Dari (Brest),MAR,"DF,FW",Brest,Ligue 1,24,1999,1.3,0,0,0,0,0
252,644,Lukas Daschner (Bochum),GER,"MF,FW",Bochum,Bundesliga,24,1998,6,50,58,40,49,34
253,645,Josh Dasilva (Brentford),ENG,"DF,FW",Brentford,Premier League,24,1998,0.3,21,21,16,0,27
254,646,David Datro Fofana (Burnley),CIV,FW,Burnley,Premier League,20,2002,9.8,71,65,58,44,67
255,647,David Datro Fofana (Union Berlin),CIV,"FW,MF",Union Berlin,Bundesliga,20,2002,7.6,77,74,57,59,71
256,649,Jonathan David (Lille),CAN,FW,Lille,Ligue 1,23,2000,29.2,70,65,78,80,83
257,653,Keinan Davis (Udinese),ENG,"FW,MF",Udinese,Serie A,25,1998,2.1,23,28,16,12,34
258,657,Charles De Ketelaere (Atalanta),BEL,"FW,MF",Atalanta,Serie A,22,2001,22.5,91,91,93,90,95
259,663,Grégoire Defrel (Sassuolo),MTQ,"FW,MF",Sassuolo,Serie A,32,1991,8.4,38,33,31,38,27
260,665,Romain Del Castillo (Brest),FRA,FW,Brest,Ligue 1,27,1996,27.7,99,99,95,99,82
261,667,Sacha Delaye (Montpellier),FRA,"MF,FW",Montpellier,Ligue 1,21,2002,1.4,18,21,16,28,18
262,671,Karamoko Dembele (Brest),SCO,"MF,FW",Brest,Ligue 1,20,2003,0.2,0,0,0,18,0
263,672,Ousmane Dembélé (Paris S-G),FRA,"MF,FW",Paris S-G,Ligue 1,26,1997,16.7,98,98,99,100,97
264,673,Jessy Deminguet (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,7.7,28,21,31,47,18
265,674,Ermedin Demirović (Augsburg),BIH,"FW,MF",Augsburg,Bundesliga,25,1998,31.9,84,84,65,65,67
266,682,Mattia Destro (Empoli),ITA,"FW,MF",Empoli,Serie A,32,1991,4.1,21,14,24,24,34
267,684,Federico Di Francesco (Lecce),ITA,"FW,MF",Lecce,Serie A,29,1994,0.2,9,0,10,0,0
268,689,Boulaye Dia (Salernitana),SEN,"FW,MF",Salernitana,Serie A,26,1996,12.7,73,63,54,61,50
269,690,Moussa Diaby (Aston Villa),FRA,"FW,MF",Aston Villa,Premier League,24,1999,24.2,86,84,94,86,94
270,693,Mamadou Diakhon (Reims),FRA,"FW,MF",Reims,Ligue 1,17,2005,2.3,48,41,40,18,45
271,697,Oumar Diakité (Reims),CIV,FW,Reims,Ligue 1,19,2003,17.6,83,81,66,66,82
