Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA _TakeOn
562,1502,Ademola Lookman,NGA,"FW,MF",Atalanta,Serie A,25,1997,21,94,89,98
563,1506,Diego López,ESP,"MF,FW",Valencia,La Liga,21,2002,29.5,88,47,76
564,1507,Fermin López,ESP,"MF,FW",Barcelona,La Liga,20,2003,16.1,68,46,76
565,1523,Anthony Lozano,HON,"MF,FW",Getafe,La Liga,30,1993,1,14,24,0
566,1524,Anthony Lozano,HON,FW,Almería,La Liga,30,1993,8.6,44,32,34
567,1526,Lorenzo Lucca,ITA,FW,Udinese,Serie A,22,2000,28.8,71,17,34
568,1529,José Luis Morales,ESP,"FW,MF",Villarreal,La Liga,36,1987,11.6,50,28,61
569,1532,Romelu Lukaku,BEL,FW,Roma,Serie A,30,1993,29.3,83,35,61
570,1534,Dodi Lukebakio,BEL,"FW,MF",Sevilla,La Liga,25,1997,12.5,72,77,89
571,1541,Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,21,2002,21.6,82,58,93
572,1545,Othmane Maamma,FRA,FW,Montpellier,Ligue 1,17,2005,1,27,97,61
573,1546,Ian Maatsen,NED,"FW,MF",Chelsea,Premier League,21,2002,2.3,23,30,0
574,1552,Noni Madueke,ENG,FW,Chelsea,Premier League,21,2002,11.7,74,85,89
575,1561,Frank Magri,CMR,"FW,MF",Toulouse,Ligue 1,23,1999,16,58,26,70
576,1563,Jon Magunacelaya,ESP,"FW,MF",Real Sociedad,La Liga,23,2000,1.3,17,33,34
577,1564,Adel Mahamoud,COM,FW,Nantes,Ligue 1,20,2003,0.1,0,0,0
578,1566,Habib Maïga,CIV,"MF,FW",Metz,Ligue 1,27,1996,1.6,9,10,0
579,1568,Linton Maina,GER,"FW,MF",Köln,Bundesliga,24,1999,21.1,78,50,61
580,1574,Lovro Majer,CRO,"MF,FW",Wolfsburg,Bundesliga,25,1998,23.4,90,71,51
581,1575,Jean-Victor Makengo,FRA,"MF,FW",Lorient,Ligue 1,25,1998,5.3,20,10,34
582,1580,Daniel Maldini,ITA,"MF,FW",Monza,Serie A,21,2001,3.7,44,92,70
583,1581,Daniel Maldini,ITA,"FW,MF",Empoli,Serie A,21,2001,2.9,27,38,51
584,1583,Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,24,1999,19.8,86,74,87
585,1586,Aaron Malouda,FRA,FW,Lille,Ligue 1,17,2005,0,0,0,0
586,1588,David Mamutovic,GER,"FW,DF",Mainz 05,Bundesliga,22,2000,0.1,9,98,0
587,1590,Hianga Mananga Mbock,FRA,"MF,FW",Brest,Ligue 1,23,1999,0.1,9,99,0
588,1592,Marco Mancosu,ITA,"MF,FW",Cagliari,Serie A,34,1988,1.7,27,80,34
589,1604,Benson Manuel,ANG,"MF,FW",Burnley,Premier League,26,1997,1.3,25,88,51
590,1608,Solly March,ENG,"FW,DF",Brighton,Premier League,29,1994,6.2,48,70,51
591,1612,Alberto Marí,ESP,FW,Valencia,La Liga,22,2001,3.1,29,46,0
592,1613,José Mari,ESP,"MF,FW",Cádiz,La Liga,35,1987,0.2,20,100,0
593,1616,Mariano,DOM,"FW,MF",Sevilla,La Liga,29,1993,2.7,32,65,34
594,1617,Mirko Marić,CRO,FW,Monza,Serie A,28,1995,3.2,27,31,0
595,1623,Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,Bundesliga,24,1999,25.6,86,55,93
596,1624,Marquinhos,BRA,"FW,MF",Nantes,Ligue 1,20,2003,1.7,32,92,0
597,1629,Roger Martí,ESP,FW,Cádiz,La Liga,32,1991,15.1,58,27,0
598,1630,Anthony Martial,FRA,FW,Manchester Utd,Premier League,27,1995,5,35,32,0
599,1636,Gabriel Martinelli,BRA,FW,Arsenal,Premier League,22,2001,22.4,92,81,95
600,1641,Lautaro Martínez,ARG,FW,Inter,Serie A,25,1997,29.5,94,68,70
601,1646,Marvin,ESP,"FW,DF",Las Palmas,La Liga,23,2000,20.6,58,16,61
602,1652,Roberto Massimo,GER,"FW,DF",Stuttgart,Bundesliga,22,2000,0.9,9,11,0
603,1654,Jaime Mata,ESP,"FW,MF",Getafe,La Liga,34,1988,19.9,68,29,51
604,1657,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,26,1997,25.4,82,44,76
605,1664,Jean Mattéo Bahoya,FRA,"MF,FW",Eint Frankfurt,Bundesliga,18,2005,2,25,58,0
606,1669,Neal Maupay,FRA,FW,Brentford,Premier League,26,1996,14.7,66,49,51
607,1670,Neal Maupay,FRA,FW,Everton,Premier League,26,1996,1.2,17,38,0
608,1671,Aïman Maurer,MAR,"MF,FW",Clermont Foot,Ligue 1,18,2004,0.6,9,17,0
609,1675,Eric Maxim Choupo-Moting,CMR,"MF,FW",Bayern Munich,Bundesliga,34,1989,8,60,84,51
610,1678,Borja Mayoral,ESP,FW,Getafe,La Liga,26,1997,23.9,76,34,87
611,1679,Senny Mayulu,FRA,"FW,MF",Paris S-G,Ligue 1,17,2006,3.6,32,42,34
612,1680,Youssef Maziz,FRA,"FW,MF",Metz,Ligue 1,25,1998,1.4,25,85,0
613,1688,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,24,1998,24,93,80,99
614,1689,Malick Mbaye,SEN,"MF,FW",Metz,Ligue 1,19,2004,1.7,17,20,34
615,1693,Bryan Mbeumo,CMR,FW,Brentford,Premier League,23,1999,21.8,89,75,51
616,1694,Christ Mbondi,FRA,FW,Reims,Ligue 1,18,2004,0,0,0,0
617,1695,Jordi Mboula,ESP,"FW,MF",Hellas Verona,Serie A,24,1999,3.4,23,15,34
618,1696,Nathanael Mbuku,FRA,FW,Augsburg,Bundesliga,21,2002,0.1,0,0,0
619,1697,James Mcatee,ENG,"MF,FW",Sheffield Utd,Premier League,20,2002,20.2,79,56,76
620,1699,Oliver McBurnie,SCO,FW,Sheffield Utd,Premier League,27,1996,14.2,55,27,0
621,1701,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,28,1994,33.3,95,61,83
622,1704,Dwight McNeil,ENG,"MF,FW",Everton,Premier League,23,1999,32.1,98,80,76
623,1705,Scott McTominay,SCO,"MF,FW",Manchester Utd,Premier League,26,1996,21.1,52,13,34
624,1711,Hannibal Mejbri,TUN,"MF,FW",Manchester Utd,Premier League,20,2003,1.5,25,81,0
625,1713,Óscar Melendo,ESP,"MF,FW",Granada,La Liga,25,1997,12.5,43,15,0
626,1714,Gonzalo Melero,ESP,"MF,FW",Almería,La Liga,29,1994,12.3,61,53,34
627,1717,Memphis,NED,FW,Atlético Madrid,La Liga,29,1994,9.9,63,74,87
628,1721,Brais Méndez,ESP,"MF,FW",Real Sociedad,La Liga,26,1997,26.8,94,75,76
629,1741,Omenuke Mfulu,COD,"MF,FW",Las Palmas,La Liga,29,1994,0.9,14,34,0
630,1742,Lucas Michal,FRA,FW,Monaco,Ligue 1,18,2005,0.1,0,0,0
631,1743,Sven Michel,GER,"FW,MF",Augsburg,Bundesliga,33,1990,6.5,40,41,34
632,1744,Miguel,ESP,"FW,MF",Alavés,La Liga,23,1999,0.7,9,14,0
633,1745,Georges Mikautadze,GEO,FW,Metz,Ligue 1,22,2000,19.4,78,57,95
634,1748,Arkadiusz Milik,POL,FW,Juventus,Serie A,29,1994,10.2,63,72,34
635,1752,Enzo Millot,FRA,"MF,FW",Stuttgart,Bundesliga,21,2002,24.9,89,64,89
636,1754,Jovan Milošević,SRB,"FW,MF",Stuttgart,Bundesliga,18,2005,0.3,0,0,0
637,1755,Marko Milovanović,SRB,"FW,MF",Almería,La Liga,19,2003,3.4,23,15,0
638,1764,Rafa Mir,ESP,"FW,MF",Sevilla,La Liga,26,1997,4.3,38,57,51
639,1766,Aleksei Miranchuk,RUS,"MF,FW",Atalanta,Serie A,27,1995,13.1,89,96,51
640,1773,Kaoru Mitoma,JPN,FW,Brighton,Premier League,26,1997,16.5,80,74,93
641,1774,Aleksandar Mitrović,SRB,FW,Fulham,Premier League,28,1994,0.4,14,94,34
642,1775,Stefan Mitrović,SRB,"FW,MF",Hellas Verona,Serie A,20,2002,4.3,27,17,34
643,1782,Terem Moffi,NGA,FW,Nice,Ligue 1,24,1999,21.7,69,27,83
644,1783,Mostafa Mohamed,EGY,FW,Nantes,Ligue 1,25,1997,22.2,72,30,70
645,1784,Dion Moise Sahi,CIV,"MF,FW",Strasbourg,Ligue 1,21,2001,7,35,16,34
646,1786,Alberto Moleiro,ESP,"FW,MF",Las Palmas,La Liga,19,2003,20,83,66,93
647,1788,Florent Mollet,FRA,"MF,FW",Nantes,Ligue 1,31,1991,23.1,83,53,61
648,1795,Kieffer Moore,WAL,"FW,MF",Bournemouth,Premier League,30,1992,1.2,23,82,0
649,1797,Álvaro Morata,ESP,FW,Atlético Madrid,La Liga,30,1992,21.2,66,23,83
650,1798,Diego Moreira,POR,"FW,MF",Lyon,Ligue 1,18,2004,3,20,14,0
651,1801,Gerard Moreno,ESP,FW,Villarreal,La Liga,31,1992,24.6,93,81,87
652,1804,Ilaix Moriba,GUI,"MF,FW",Getafe,La Liga,20,2003,6.7,43,47,0
653,1807,Carlton Morris,ENG,"FW,MF",Luton Town,Premier League,27,1995,31.8,85,33,76
654,1810,Dany Mota,POR,"FW,MF",Monza,Serie A,25,1998,22.8,85,60,0
655,1811,Lebo Mothiba,RSA,FW,Strasbourg,Ligue 1,27,1996,6.9,36,20,34
656,1812,Youssoufa Moukoko,GER,FW,Dortmund,Bundesliga,18,2004,6.9,38,22,51
657,1813,Steve Mounié,BEN,FW,Brest,Ligue 1,28,1994,19.7,58,18,0
658,1814,Mason Mount,ENG,"MF,FW",Manchester Utd,Premier League,24,1999,5.7,43,61,51
659,1817,Divin Mubama,ENG,FW,West Ham,Premier League,18,2004,0.9,0,0,0
660,1818,Mykhailo Mudryk,UKR,FW,Chelsea,Premier League,22,2001,17.5,79,68,87
661,1821,Samuele Mulattieri,ITA,"FW,MF",Sassuolo,Serie A,22,2000,5.1,34,24,0
662,1826,Thomas Müller,GER,"MF,FW",Bayern Munich,Bundesliga,33,1989,18.4,93,92,34
663,1829,Iker Muniain,ESP,"MF,FW",Athletic Club,La Liga,30,1992,6.6,51,75,34
664,1830,Rodrigo Muniz,BRA,FW,Fulham,Premier League,22,2001,17.7,65,31,61
665,1832,Álvaro Muñoz,URU,FW,Real Madrid,La Liga,19,2004,0,0,0,0
666,1838,Luis Muriel,COL,"FW,MF",Atalanta,Serie A,32,1991,4.5,55,96,34
667,1840,Vedat Muriqi,KVX,FW,Mallorca,La Liga,29,1994,25.9,75,26,51
668,1841,Alex Murphy,IRL,"DF,FW",Newcastle Utd,Premier League,19,2004,0.1,0,0,0
669,1842,Jacob Murphy,ENG,"FW,DF",Newcastle Utd,Premier League,28,1995,13.2,77,82,51
670,1843,Yunus Musah,USA,"MF,FW",Milan,Serie A,20,2002,16.4,64,36,76
671,1844,Jamal Musiala,GER,"MF,FW",Bayern Munich,Bundesliga,20,2003,19.5,95,94,95
672,1845,Florent Muslija,KVX,"MF,FW",Freiburg,Bundesliga,25,1998,1.2,32,98,34
673,1847,Kingstone Mutandwa,ZAM,"FW,MF",Cagliari,Serie A,20,2003,0.4,0,0,0
674,1849,Joel Mvuka,NOR,"DF,FW",Lorient,Ligue 1,20,2002,2.2,9,9,0
675,1850,Junior Mwanga,FRA,"MF,FW",Strasbourg,Ligue 1,20,2003,16.1,58,25,34
676,1856,Nathan N'Goumou,FRA,"FW,MF",Gladbach,Bundesliga,23,2000,15.4,68,49,89
677,1859,Bilal Nadir,FRA,"MF,FW",Marseille,Ligue 1,19,2003,1.3,17,37,0
678,1862,Keito Nakamura,JPN,"FW,MF",Reims,Ligue 1,23,2000,15.3,63,38,61
679,1867,Roberto Navarro,ESP,"MF,FW",Cádiz,La Liga,21,2002,21,92,87,95
680,1872,Bassirou Ndiaye,SEN,FW,Lorient,Ligue 1,21,2002,1.7,17,20,0
681,1873,Iliman Ndiaye,SEN,"FW,MF",Marseille,Ligue 1,23,2000,18,80,67,89
682,1875,Rassoul Ndiaye,SEN,"MF,FW",Le Havre,Ligue 1,21,2001,5.8,27,13,34
683,1876,Michael Ndiweni,ENG,FW,Newcastle Utd,Premier League,19,2003,0,0,0,0
684,1878,Dan Ndoye,SUI,"FW,MF",Bologna,Serie A,22,2000,19.7,80,61,91
685,1881,Álvaro Negredo,ESP,"FW,MF",Cádiz,La Liga,37,1985,0.6,17,91,0
686,1882,Reiss Nelson,ENG,FW,Arsenal,Premier League,23,1999,3,32,58,0
687,1885,Pedro Neto,POR,"FW,MF",Wolves,Premier League,23,2000,16.8,86,86,89
688,1890,Jessic Ngankam,GER,"FW,MF",Mainz 05,Bundesliga,23,2000,2,27,68,0
689,1891,Jessic Ngankam,GER,FW,Eint Frankfurt,Bundesliga,23,2000,3.1,20,13,34
690,1892,Cyril Ngonge,BEL,"FW,MF",Hellas Verona,Serie A,23,2000,15.9,79,75,91
691,1893,Cyril Ngonge,BEL,FW,Napoli,Serie A,23,2000,3.5,52,98,76
692,1894,Steve Ngoura,FRA,"FW,MF",Le Havre,Ligue 1,18,2005,2.5,32,71,51
693,1896,M'Baye Niang,SEN,FW,Empoli,Serie A,28,1994,7.9,43,35,61
694,1898,Shamar Nicholson,JAM,FW,Clermont Foot,Ligue 1,26,1997,16.5,69,47,61
695,1903,Justin Njinmah,GER,FW,Werder Bremen,Bundesliga,22,2000,11.3,58,52,87
696,1904,Eddie Nketiah,ENG,FW,Arsenal,Premier League,24,1999,12,53,36,61
697,1906,Christopher Nkunku,FRA,"FW,MF",Chelsea,Premier League,25,1997,4.9,38,47,34
698,1908,Lukas Nmecha,GER,FW,Wolfsburg,Bundesliga,24,1998,0.5,14,84,0
699,1912,Arnaud Nordin,FRA,"FW,MF",Montpellier,Ligue 1,25,1998,13.8,77,80,83
700,1915,Tijjani Noslin,NED,"FW,MF",Hellas Verona,Serie A,24,1999,14.9,77,73,51
701,1916,Randy Nteka,ANG,"FW,MF",Rayo Vallecano,La Liga,25,1997,6.4,44,57,51
702,1917,Ernest Nuamah,GHA,"FW,MF",Lyon,Ligue 1,19,2003,20.4,85,71,89
703,1922,Darwin Núñez,URU,FW,Liverpool,Premier League,24,1999,22.7,88,69,76
704,1925,Ethan Nwaneri,ENG,FW,Arsenal,Premier League,16,2007,0.2,9,97,0
705,1926,Simeon Nwankwo,NGA,FW,Salernitana,Serie A,31,1992,7.6,27,11,0
706,1929,Rabby Nzingoula,CGO,"MF,FW",Strasbourg,Ligue 1,17,2005,1.5,17,27,0
707,1930,M'Bala Nzola,ANG,FW,Fiorentina,Serie A,26,1996,17.2,68,39,51
708,1933,Mark O'Mahony,IRL,FW,Brighton,Premier League,18,2005,0.7,0,0,0
709,1935,Michael Obafemi,IRL,"FW,MF",Burnley,Premier League,23,2000,0.2,9,84,0
710,1939,Brian Ocampo,URU,"MF,FW",Cádiz,La Liga,24,1999,2.8,29,54,51
711,1940,Lucas Ocampos,ARG,"FW,MF",Sevilla,La Liga,29,1994,31.9,93,60,70
712,1942,Jens Odgaard,DEN,"FW,MF",Bologna,Serie A,24,1999,4.8,29,18,0
713,1943,Wilson Odobert,FRA,"MF,FW",Burnley,Premier League,18,2004,23.3,87,63,93
714,1950,Noah Okafor,SUI,"FW,MF",Milan,Serie A,23,2000,9.9,43,21,70
715,1951,David Okereke,NGA,"FW,MF",Torino,Serie A,25,1997,2.8,17,11,0
716,1954,Masaya Okugawa,JPN,"FW,DF",Augsburg,Bundesliga,27,1996,0.4,0,0,0
717,1956,Aingeru Olabarrieta,ESP,FW,Athletic Club,La Liga,17,2005,0.1,9,99,0
718,1957,Michael Olakigbe,ENG,"DF,FW",Brentford,Premier League,19,2004,0.7,17,87,34
719,1960,Mathias Olesen,LUX,"MF,FW",Köln,Bundesliga,22,2001,1.2,14,17,0
720,1961,Michael Olise,FRA,"FW,MF",Crystal Palace,Premier League,21,2001,14.2,89,95,95
721,1969,Samu Omorodion,ESP,FW,Alavés,La Liga,19,2004,21.3,58,15,76
722,1970,Samu Omorodion,ESP,FW,Granada,La Liga,19,2004,0.9,14,34,0
723,1974,Ryan One,SCO,FW,Sheffield Utd,Premier League,17,2006,0.1,0,0,0
724,1975,Karim Onisiwo,AUT,"FW,MF",Mainz 05,Bundesliga,31,1992,16.6,74,59,76
725,1979,Loïs Openda,BEL,FW,RB Leipzig,Bundesliga,23,2000,30,90,51,87
726,1980,Royce Openda Owaga,GAB,FW,Lorient,Ligue 1,21,2002,0.2,0,0,0
727,1982,Leon Opitz,GER,"FW,DF",Werder Bremen,Bundesliga,18,2005,0.2,0,0,0
728,1983,Gift Orban,NGA,FW,Lyon,Ligue 1,21,2002,5.3,29,16,34
729,1986,Divock Origi,BEL,FW,Nott'ham Forest,Premier League,28,1995,6.7,40,37,51
730,1987,Gaetano Oristanio,ITA,"FW,MF",Cagliari,Serie A,20,2002,12.3,65,61,83
731,1989,Riccardo Orsolini,ITA,"FW,MF",Bologna,Serie A,26,1997,19.9,90,83,89
732,1995,Victor Osimhen,NGA,FW,Napoli,Serie A,24,1998,22,76,40,70
733,1998,William Osula,DEN,FW,Sheffield Utd,Premier League,19,2003,8.7,36,14,34
734,1999,Dango Ouattara,BFA,"FW,DF",Bournemouth,Premier League,21,2002,13.7,70,64,70
735,2000,Kassoum Ouattara,FRA,"DF,FW",Monaco,Ligue 1,18,2004,7.1,39,25,34
736,2001,Remi Oudin,FRA,"MF,FW",Lecce,Serie A,26,1996,20.2,92,87,0
737,2004,Adam Ounas,ALG,FW,Lille,Ligue 1,26,1996,4.6,53,96,70
738,2005,Patrick Ouotro,CIV,FW,Strasbourg,Ligue 1,17,2005,0.1,9,99,0
739,2008,Mikel Oyarzabal,ESP,"FW,MF",Real Sociedad,La Liga,26,1997,24,67,19,70
740,2015,Gonçalo Paciência,POR,"FW,MF",Bochum,Bundesliga,28,1994,7.2,56,82,70
741,2020,Isaac Palazón Camacho,ESP,"MF,FW",Rayo Vallecano,La Liga,28,1994,31,96,72,51
742,2023,Cole Palmer,ENG,"FW,MF",Chelsea,Premier League,21,2002,29,99,94,97
743,2026,Joaquín Panichelli,ARG,"FW,MF",Alavés,La Liga,20,2002,2.5,25,38,0
744,2029,Christos Papadopoulos,GRE,FW,Genoa,Serie A,18,2004,0,0,0,0
745,2033,Lucas Paquetá,BRA,"FW,MF",West Ham,Premier League,25,1997,29.1,92,63,87
746,2034,Victor Parada,ESP,"FW,MF",Alavés,La Liga,21,2002,0,0,0,0
747,2036,Kevin Paredes,USA,"FW,MF",Wolfsburg,Bundesliga,20,2003,15.9,71,54,70
748,2040,Ben Parkinson,ENG,FW,Newcastle Utd,Premier League,18,2005,0.3,0,0,0
749,2044,Pascu,ESP,FW,Villarreal,La Liga,20,2003,0.2,0,0,0
750,2054,Leonardo Pavoletti,ITA,FW,Cagliari,Serie A,34,1988,7,39,26,0
751,2056,Nicolás Paz,ARG,"MF,FW",Real Madrid,La Liga,18,2004,0.3,9,78,0
752,2062,Pedri,ESP,"MF,FW",Barcelona,La Liga,20,2002,16.4,83,83,34
753,2063,Pedro,ESP,"FW,MF",Lazio,Serie A,36,1987,9.1,52,56,61
754,2065,Jordan Pefok,USA,FW,Gladbach,Bundesliga,27,1996,15.8,61,32,51
755,2066,Jordan Pefok,USA,FW,Union Berlin,Bundesliga,27,1996,0.3,9,66,0
756,2067,Dženan Pejčinović,GER,FW,Wolfsburg,Bundesliga,18,2005,0.4,14,90,0
757,2068,Pietro Pellegri,ITA,FW,Torino,Serie A,22,2001,8.4,36,15,34
758,2071,Facundo Pellistri,URU,"FW,MF",Manchester Utd,Premier League,21,2001,1.9,17,16,0
759,2072,Facundo Pellistri,URU,"MF,FW",Granada,La Liga,21,2001,13.7,68,60,34
760,2075,Faris Pemi Moumbagna,CMR,FW,Marseille,Ligue 1,23,2000,6.1,40,41,0
761,2078,Rubén Peña,ESP,"DF,FW",Osasuna,La Liga,32,1991,23.2,80,46,83
762,2079,Pepín,EQG,"MF,FW",Monza,Serie A,26,1996,2.7,27,46,0
763,2080,Alberto Perea,ESP,"MF,FW",Granada,La Liga,32,1990,0,14,100,0
764,2083,Mathias Pereira Lage,POR,"FW,MF",Brest,Ligue 1,26,1996,13.2,63,51,51
765,2086,Roberto Pereyra,ARG,"FW,MF",Udinese,Serie A,32,1991,20.6,76,44,76
766,2087,Ayoze Pérez,ESP,FW,Betis,La Liga,30,1993,25.5,91,69,95
767,2089,Francisco Perez,ESP,"MF,FW",Valencia,La Liga,20,2002,22.8,66,20,61
768,2090,Kike Pérez,ESP,"MF,FW",Rayo Vallecano,La Liga,26,1997,9.3,52,55,0
769,2092,Matteo Perez Vinlöf,SWE,FW,Bayern Munich,Bundesliga,17,2005,0.2,0,0,0
770,2096,Ivan Perišić,CRO,FW,Tottenham,Premier League,34,1989,1.1,29,97,34
771,2097,Romain Perraud,FRA,"DF,FW",Nice,Ligue 1,25,1997,4.1,23,13,0
772,2102,Andrea Petagna,ITA,FW,Cagliari,Serie A,28,1995,11.1,56,48,34
773,2104,Njegoš Petrović,SRB,"MF,FW",Granada,La Liga,24,1999,1.7,20,35,0
774,2106,Jens Petter Hauge,NOR,"MF,FW",Eint Frankfurt,Bundesliga,23,1999,1.6,17,21,0
775,2109,Luca Pfeiffer,GER,"FW,MF",Darmstadt 98,Bundesliga,26,1996,18,73,49,51
776,2111,Maximilian Philipp,GER,"FW,MF",Freiburg,Bundesliga,29,1994,3.6,29,32,0
777,2114,Jaden Philogene Bidace,ENG,FW,Aston Villa,Premier League,21,2002,0,0,0,0
778,2116,Roberto Piccoli,ITA,FW,Empoli,Serie A,22,2001,0.4,14,89,0
779,2117,Roberto Piccoli,ITA,FW,Lecce,Serie A,22,2001,15.3,58,29,61
780,2118,Florian Pick,GER,"MF,FW",Heidenheim,Bundesliga,27,1995,3.6,41,88,70
781,2121,Marvin Pieringer,GER,"MF,FW",Heidenheim,Bundesliga,23,1999,16.8,55,19,34
782,2122,Santiago Pierotti,ARG,"MF,FW",Lecce,Serie A,22,2001,2.2,36,93,61
783,2125,Andrea Pinamonti,ITA,FW,Sassuolo,Serie A,24,1999,34.2,79,19,61
784,2127,Yeremi Pino,ESP,"MF,FW",Villarreal,La Liga,20,2002,5.3,38,40,34
785,2131,Alassane Pléa,FRA,"FW,MF",Gladbach,Bundesliga,30,1993,21.3,87,72,76
786,2135,Matteo Politano,ITA,FW,Napoli,Serie A,29,1993,26.2,99,93,83
787,2136,Sebastian Polter,GER,FW,Darmstadt 98,Bundesliga,32,1991,5,34,26,0
788,2141,Portu,ESP,FW,Getafe,La Liga,31,1992,1.1,14,22,0
789,2142,Portu,ESP,"MF,FW",Girona,La Liga,31,1992,13.2,55,31,51
790,2144,Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,29,1994,13.5,63,50,70
791,2149,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,30,1992,14.1,49,18,34
792,2155,Antonio Puertas,ESP,"MF,FW",Granada,La Liga,31,1992,8.1,55,70,70
793,2156,Arnau Puigmal,ESP,"FW,DF",Almería,La Liga,22,2001,2.8,20,15,0
794,2157,Christian Pulisic,USA,"FW,MF",Milan,Serie A,24,1998,28.9,91,60,89
795,2158,George Pușcaș,ROU,FW,Genoa,Serie A,27,1996,2.1,23,37,34
796,2163,Nemanja Radonjić,SRB,"MF,FW",Torino,Serie A,27,1996,4.2,32,30,51
797,2169,Abdellah Raihani,MAR,FW,Atlético Madrid,La Liga,19,2004,0.1,0,0,0
798,2171,Luca Raimund,GER,"FW,MF",Stuttgart,Bundesliga,18,2005,0.3,17,98,0
799,2173,Jesurun Rak Sakyi,ENG,"MF,FW",Crystal Palace,Premier League,20,2002,1.5,25,79,51
800,2176,Largie Ramazani,BEL,"FW,MF",Almería,La Liga,22,2001,17.3,78,64,87
801,2177,Benito Ramírez,ESP,"FW,MF",Las Palmas,La Liga,28,1995,4.3,29,22,34
802,2178,Sandro Ramírez,ESP,FW,Las Palmas,La Liga,28,1995,20.1,87,77,70
803,2179,Chris Ramos,ESP,"FW,MF",Cádiz,La Liga,26,1997,29,65,14,87
804,2180,Gonçalo Ramos,POR,FW,Paris S-G,Ligue 1,22,2001,15.8,60,30,34
805,2183,Aaron Ramsey,ENG,"MF,FW",Burnley,Premier League,20,2003,5.9,23,10,0
806,2184,Jacob Ramsey,ENG,"FW,MF",Aston Villa,Premier League,22,2001,9.5,55,59,34
807,2187,Grant Ranos,ARM,"MF,FW",Gladbach,Bundesliga,20,2003,0.5,14,71,0
808,2188,Raphinha,BRA,"FW,MF",Barcelona,La Liga,26,1996,15.2,91,95,83
809,2190,Elba Rashani,KVX,"MF,FW",Clermont Foot,Ligue 1,30,1993,13.1,55,32,34
810,2191,Marcus Rashford,ENG,FW,Manchester Utd,Premier League,25,1997,25.2,91,68,98
811,2192,Giacomo Raspadori,ITA,"FW,MF",Napoli,Serie A,23,2000,17.6,86,83,70
812,2194,Raúl,ESP,FW,Osasuna,La Liga,22,2000,15.1,48,15,0
813,2199,Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,24,1998,8,55,72,70
814,2200,Nathan Redmond,ENG,"FW,MF",Burnley,Premier League,29,1994,1.6,29,91,34
815,2204,Bobby Reid,JAM,FW,Fulham,Premier League,30,1993,15.8,61,30,34
816,2207,Reinier,BRA,"MF,FW",Frosinone,Serie A,21,2002,11.8,60,54,0
817,2211,Mateo Retegui,ITA,FW,Genoa,Serie A,24,1999,24.6,55,12,70
818,2212,Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,34,1989,17.8,83,77,34
819,2214,Gio Reyna,USA,"FW,MF",Nott'ham Forest,Premier League,20,2002,2.6,36,88,34
820,2215,Gio Reyna,USA,"MF,FW",Dortmund,Bundesliga,20,2002,3.1,51,98,51
821,2218,Rodrigo Ribeiro,POR,"MF,FW",Nott'ham Forest,Premier League,18,2005,0.2,9,92,0
822,2223,Richarlison,BRA,FW,Tottenham,Premier League,26,1997,16.6,60,27,61
823,2224,Marco Richter,GER,"MF,FW",Mainz 05,Bundesliga,25,1997,8,53,69,51
824,2228,Jaïro Riedewald,NED,"MF,FW",Crystal Palace,Premier League,26,1996,2.6,9,9,0
825,2230,Luis Rioja,ESP,"FW,MF",Alavés,La Liga,29,1993,27.8,89,55,76
826,2235,Matt Ritchie,SCO,"FW,MF",Newcastle Utd,Premier League,33,1989,1.4,17,29,0
827,2245,Sergio Rodelas,ESP,"FW,DF",Granada,La Liga,18,2004,1.4,25,86,0
828,2247,Rodri,ESP,"FW,MF",Betis,La Liga,23,2000,11.7,60,52,61
829,2248,Óscar Rodríguez Arnaiz,ESP,"MF,FW",Getafe,La Liga,25,1998,10.7,73,87,70
830,2252,Jay Rodriguez,ENG,FW,Burnley,Premier League,34,1989,9.1,38,15,51
831,2256,Rodrygo,BRA,FW,Real Madrid,La Liga,22,2001,26.4,96,82,99
832,2259,Morgan Rogers,ENG,"MF,FW",Aston Villa,Premier League,21,2002,7.1,49,63,61
833,2260,Merlin Röhl,GER,"MF,FW",Freiburg,Bundesliga,21,2002,16.4,70,50,61
834,2265,Luka Romero,ARG,"FW,MF",Milan,Serie A,18,2004,1,14,26,0
835,2266,Luka Romero,ARG,FW,Almería,La Liga,18,2004,4.9,34,27,51
836,2272,Vitor Roque,BRA,FW,Barcelona,La Liga,18,2005,3.6,20,12,34
837,2289,Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,27,1996,11.3,60,55,51
838,2296,Emmanuel Sabbi,USA,"FW,MF",Le Havre,Ligue 1,25,1997,17.6,69,42,76
839,2300,Dominic Sadi,ENG,FW,Bournemouth,Premier League,19,2003,0,0,0,0
840,2301,Umar Sadiq,NGA,FW,Real Sociedad,La Liga,26,1997,12,49,23,83
