Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,PK,PK_Att,Y_Card,R_Card,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgPR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1251,1251,Willian José,ESP,FW,Betis,La Liga,31,1991,33,25,1971,21.9,10,5,15,10,0,0,0,1,5.7,5.7,2.5,8.2,8,32,90,0.46,0.23,0.68,0.46,0.68,0.26,0.12,0.37,0.26,0.37
1252,1252,Joselu,POR,FW,Real Madrid,La Liga,33,1990,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10,1.7,11.7,15,20,98,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62
1253,1253,Diogo Jota,FRA,FW,Liverpool,Premier League,26,1996,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54,34,111,0.79,0.24,1.02,0.79,1.02,0.42,0.26,0.68,0.42,0.68
1254,1254,Antoine Joujou,SRB,"FW,MF",Le Havre,Ligue 1,20,2003,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,35,22,82,0,0.23,0.23,0,0.23,0.13,0.07,0.2,0.13,0.2
1255,1255,Luka Jović,POL,FW,Milan,Serie A,25,1997,23,8,877,9.7,6,1,7,6,0,0,2,1,4.9,4.9,0.8,5.7,6,22,47,0.62,0.1,0.72,0.62,0.72,0.5,0.09,0.59,0.5,0.59
1256,1256,Kamil Jóźwiak,ESP,MF,Granada,La Liga,25,1998,11,7,571,6.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,15,21,31,0,0.16,0.16,0,0.16,0.02,0.19,0.21,0.02,0.21
1257,1257,Juanmi,ESP,FW,Cádiz,La Liga,30,1993,16,9,873,9.7,3,1,4,3,0,0,3,0,2.5,2.5,1.6,4.2,7,12,40,0.31,0.1,0.41,0.31,0.41,0.26,0.17,0.43,0.26,0.43
1258,1258,Juanpe,DEN,DF,Girona,La Liga,32,1991,17,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0,0.2,3,14,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
1259,1259,Mads Juel Andersen,FRA,DF,Luton Town,Premier League,25,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,7,1,0.23,0,0.23,0.23,0.23,0.06,0,0.06,0.06,0.06
1260,1260,Christopher Jullien,GER,DF,Montpellier,Ligue 1,30,1993,20,13,1233,13.7,1,0,1,1,0,0,5,0,1.1,1.1,0.1,1.2,1,26,4,0.07,0,0.07,0.07,0.07,0.08,0,0.09,0.08,0.09
1261,1261,Anthony Jung,FRA,DF,Werder Bremen,Bundesliga,31,1991,31,30,2579,28.7,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1,24,107,21,0.03,0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03
1262,1262,Eli Junior Kroupi,CIV,"FW,MF",Lorient,Ligue 1,17,2006,30,11,1084,12,5,3,8,5,0,0,1,0,3.5,3.5,1.8,5.3,10,12,63,0.42,0.25,0.66,0.42,0.66,0.29,0.15,0.44,0.29,0.44
1263,1263,Hamed Junior Traorè,CIV,MF,Bournemouth,Premier League,23,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41
1264,1264,Hamed Junior Traorè,BRA,MF,Napoli,Serie A,23,2000,9,5,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.7,1.6,12,21,19,0,0,0,0,0,0.2,0.17,0.37,0.2,0.37
1265,1265,Vinicius Júnior,CRO,FW,Real Madrid,La Liga,23,2000,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8
1266,1266,Josip Juranović,CZE,DF,Union Berlin,Bundesliga,27,1995,21,14,1294,14.4,0,2,2,0,0,1,4,0,1.4,0.6,2.3,2.9,22,52,46,0,0.14,0.14,0,0.14,0.1,0.16,0.26,0.04,0.2
1267,1267,David Jurásek,GER,DF,Hoffenheim,Bundesliga,22,2000,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1,1.1,12,12,38,0,0.18,0.18,0,0.18,0.03,0.18,0.21,0.03,0.21
1268,1268,Julian Justvan,GER,"FW,MF",Hoffenheim,Bundesliga,25,1998,4,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,0,0,0,0,0,0.07,0,0.07,0.07,0.07
1269,1269,Julian Justvan,DEN,"MF,FW",Darmstadt 98,Bundesliga,25,1998,14,11,1023,11.4,2,2,4,2,0,0,1,0,0.9,0.9,2.5,3.4,20,56,50,0.18,0.18,0.35,0.18,0.35,0.08,0.22,0.3,0.08,0.3
1270,1270,Filip Jørgensen,DEN,GK,Villarreal,La Liga,21,2002,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,1271,Mathias Jørgensen,FRA,DF,Brentford,Premier League,33,1990,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5,50,4,0.08,0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
1272,1272,Mohamed Kaba,GUI,MF,Lecce,Serie A,21,2001,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2,14,60,32,0,0,0,0,0,0.08,0.06,0.13,0.08,0.13
1273,1273,Sory Kaba,TUR,FW,Las Palmas,La Liga,28,1995,17,9,720,8,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7,12,36,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23
1274,1274,Ozan Kabak,BEL,DF,Hoffenheim,Bundesliga,23,2000,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21,110,11,0.16,0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13
1275,1275,Christian Kabasele,BFA,DF,Udinese,Serie A,32,1991,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7,22,1,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17
1276,1276,Issa Kaboré,FRA,DF,Luton Town,Premier League,22,2001,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60,54,85,0,0.1,0.1,0,0.1,0.01,0.11,0.12,0.01,0.12
1277,1277,Abdoul Kader Bamba,MLI,"FW,MF",Nantes,Ligue 1,29,1994,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1,3.2,41,31,73,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46
1278,1278,Yaya Kader Fofana,CZE,"MF,DF",Reims,Ligue 1,19,2004,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,1,0,0,0,0,0,0.23,0,0.23,0.23,0.23
1279,1279,Pavel Kadeřábek,ZIM,"DF,FW",Hoffenheim,Bundesliga,31,1992,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,38,88,153,0.11,0.15,0.26,0.11,0.26,0.09,0.18,0.27,0.09,0.27
1280,1280,Tino Kadewere,ZIM,"FW,MF",Lyon,Ligue 1,27,1996,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,4,12,28,0,0,0,0,0,0.2,0.09,0.28,0.2,0.28
1281,1281,Tino Kadewere,BRA,"FW,MF",Nantes,Ligue 1,27,1996,14,8,781,8.7,1,0,1,1,0,1,1,0,1.9,1.2,1.8,2.9,15,26,53,0.12,0,0.12,0.12,0.12,0.22,0.21,0.43,0.13,0.34
1282,1282,Kaiky,AUT,DF,Almería,La Liga,19,2004,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0,0.3,4,24,1,0.17,0,0.17,0.17,0.17,0.04,0,0.04,0.04,0.04
1283,1283,Florian Kainz,AUT,"MF,FW",Köln,Bundesliga,30,1992,33,29,2197,24.4,5,4,9,0,5,5,4,0,5,1,3.3,4.3,40,124,100,0.2,0.16,0.37,0,0.16,0.2,0.13,0.34,0.04,0.18
1284,1284,Sasa Kalajdzic,AUT,FW,Wolves,Premier League,26,1997,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1,2,1,5,9,1.08,0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09
1285,1285,Sasa Kalajdzic,FRA,FW,Eint Frankfurt,Bundesliga,26,1997,5,5,325,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,1,8,9,0,0.28,0.28,0,0.28,0.05,0.14,0.19,0.05,0.19
1286,1286,Arnaud Kalimuendo,SLE,FW,Rennes,Ligue 1,21,2002,30,25,2139,23.8,10,1,11,8,2,2,6,0,9,7.4,2.7,10.1,27,37,181,0.42,0.04,0.46,0.34,0.38,0.38,0.11,0.49,0.31,0.43
1287,1287,Yayah Kallon,COD,FW,Hellas Verona,Serie A,22,2001,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1288,1288,Gedeon Kalulu,FRA,DF,Lorient,Ligue 1,25,1997,19,11,970,10.8,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.4,17,35,60,0,0.09,0.09,0,0.09,0.03,0.1,0.13,0.03,0.13
1289,1289,Pierre Kalulu,JPN,DF,Milan,Serie A,23,2000,9,4,374,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,19,11,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
1290,1290,Daichi Kamada,NOR,MF,Lazio,Serie A,26,1996,29,17,1544,17.2,2,2,4,2,0,0,3,0,1.8,1.8,2.8,4.6,40,96,78,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27
1291,1291,Waren Kamanzi,FRA,"DF,FW",Toulouse,Ligue 1,22,2000,24,12,1187,13.2,0,3,3,0,0,0,1,0,0.8,0.8,2.5,3.4,35,56,55,0,0.23,0.23,0,0.23,0.06,0.19,0.26,0.06,0.26
1292,1292,Boubacar Kamara,CIV,MF,Aston Villa,Premier League,23,1999,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0,0.05,0.05,0,0.05,0.01,0.07,0.08,0.01,0.08
1293,1293,Hassane Kamara,FRA,DF,Udinese,Serie A,29,1994,35,27,2225,24.7,1,1,2,1,0,0,4,0,1.9,1.9,2.8,4.8,61,81,93,0.04,0.04,0.08,0.04,0.08,0.08,0.11,0.19,0.08,0.19
1294,1294,Willy Kambwala,POL,DF,Manchester Utd,Premier League,18,2004,8,3,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0
1295,1295,Jakub Kamiński,BEL,"FW,MF",Wolfsburg,Bundesliga,21,2002,17,4,473,5.3,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.1,13,18,53,0,0.38,0.38,0,0.38,0.09,0.13,0.22,0.09,0.22
1296,1296,Thomas Kaminski,SVN,GK,Luton Town,Premier League,30,1992,38,38,3405,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1297,1297,Kevin Kampl,ENG,MF,RB Leipzig,Bundesliga,32,1990,26,14,1363,15.1,1,0,1,1,0,0,3,0,0.2,0.2,1.8,2,28,88,27,0.07,0,0.07,0.07,0.07,0.01,0.12,0.13,0.01,0.13
1298,1298,Harry Kane,KOR,FW,Bayern Munich,Bundesliga,30,1993,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33,36,102,164,1.14,0.25,1.39,0.98,1.24,0.97,0.2,1.17,0.85,1.05
1299,1299,Lee Kang-in,FRA,"FW,MF",Paris S-G,Ligue 1,22,2001,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50,103,150,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23
1300,1300,Yann Karamoh,FRA,"MF,FW",Torino,Serie A,25,1998,10,1,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11,5,12,0,0,0,0,0,0.08,0.03,0.11,0.08,0.11
1301,1301,Yann Karamoh,GER,"FW,MF",Montpellier,Ligue 1,25,1998,12,1,284,3.2,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1,7,3,28,0.32,0,0.32,0.32,0.32,0.26,0.06,0.32,0.26,0.32
1302,1302,Atakan Karazor,FRA,MF,Stuttgart,Bundesliga,26,1996,33,31,2623,29.1,0,4,4,0,0,0,9,0,1,1,2.6,3.6,24,142,31,0,0.14,0.14,0,0.14,0.04,0.09,0.13,0.03,0.12
1303,1303,Ayman Kari,AUT,MF,Lorient,Ligue 1,18,2004,14,12,893,9.9,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5,22,37,53,0.1,0.1,0.2,0.1,0.2,0.06,0.08,0.15,0.06,0.15
1304,1304,Emir Karic,GER,DF,Darmstadt 98,Bundesliga,26,1997,27,18,1783,19.8,0,0,0,0,0,0,4,0,0.4,0.4,1.3,1.7,56,115,85,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
1305,1305,Loris Karius,SWE,GK,Newcastle Utd,Premier League,30,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,1306,Jesper Karlsson,ESP,FW,Bologna,Serie A,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13,16,35,0,0,0,0,0,0.11,0.08,0.19,0.11,0.19
1307,1307,Jon Karrikaburu,NED,"MF,FW",Alavés,La Liga,20,2002,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1308,1308,Rick Karsdorp,CYP,DF,Roma,Serie A,28,1995,18,14,1191,13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,12,33,71,0,0.15,0.15,0,0.15,0.03,0.17,0.2,0.03,0.2
1309,1309,Grigoris Kastanos,COD,"MF,DF",Salernitana,Serie A,25,1998,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28,78,69,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35
1310,1310,Silas Katompa,GRE,"FW,MF",Stuttgart,Bundesliga,24,1998,27,8,900,10,5,2,7,5,0,1,0,0,5.7,4.9,2.3,7.2,49,25,130,0.5,0.2,0.7,0.5,0.7,0.57,0.23,0.8,0.49,0.72
1311,1311,Panos Katseris,DEN,DF,Lorient,Ligue 1,22,2001,15,13,1041,11.6,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9,24,21,86,0.09,0.09,0.17,0.09,0.17,0.18,0.07,0.25,0.18,0.25
1312,1312,Mikkel Kaufmann,ITA,FW,Union Berlin,Bundesliga,22,2001,18,4,486,5.4,1,0,1,1,0,0,0,0,1.3,1.3,1,2.3,6,11,34,0.19,0,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42
1313,1313,Michael Kayode,ITA,DF,Fiorentina,Serie A,19,2004,26,22,2058,22.9,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,45,80,102,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07
1314,1314,Moise Kean,ENG,FW,Juventus,Serie A,23,2000,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12,6,38,0,0,0,0,0,0.28,0.1,0.38,0.28,0.38
1315,1315,Michael Keane,MLI,DF,Everton,Premier League,30,1993,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0,0.7,4,14,3,0.21,0,0.21,0.21,0.21,0.14,0,0.14,0.14,0.14
1316,1316,Ibrahima Kebe,CMR,MF,Girona,La Liga,22,2000,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1317,1317,Kévin Keben Biakolo,MAR,DF,Toulouse,Ligue 1,19,2004,8,7,521,5.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,13,10,0,0,0,0,0,0,0.01,0.01,0,0.01
1318,1318,Yassine Kechta,GER,MF,Le Havre,Ligue 1,21,2002,32,21,1849,20.5,2,1,3,2,0,0,4,0,1.6,1.6,2.2,3.8,41,122,67,0.1,0.05,0.15,0.1,0.15,0.08,0.11,0.19,0.08,0.19
1319,1319,Thilo Kehrer,GER,"DF,MF",West Ham,Premier League,26,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1320,1320,Thilo Kehrer,MLI,DF,Monaco,Ligue 1,26,1996,15,15,1323,14.7,1,1,2,1,0,0,4,1,0.7,0.7,1.1,1.8,13,90,16,0.07,0.07,0.14,0.07,0.14,0.05,0.07,0.12,0.05,0.12
1321,1321,Habib Keita,GUI,MF,Clermont Foot,Ligue 1,21,2002,27,12,1278,14.2,1,0,1,1,0,0,4,0,0.7,0.7,0.6,1.3,9,53,23,0.07,0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09
1322,1322,Naby Keïta,GER,"MF,DF",Werder Bremen,Bundesliga,28,1995,5,1,109,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,13,4,0,0,0,0,0,0.09,0,0.09,0.09,0.09
1323,1323,Yannik Keitel,IRL,"DF,MF",Freiburg,Bundesliga,23,2000,15,11,920,10.2,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,4,48,7,0.1,0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11
1324,1324,Caoimhín Kelleher,GER,GK,Liverpool,Premier League,24,1998,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1325,1325,Thomas Keller,ENG,"MF,FW",Heidenheim,Bundesliga,23,1999,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1326,1326,Lloyd Kelly,ENG,DF,Bournemouth,Premier League,24,1998,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15,56,28,0,0.06,0.06,0,0.06,0.02,0.07,0.09,0.02,0.09
1327,1327,Omari Kellyman,GER,FW,Aston Villa,Premier League,17,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17
1328,1328,Aljoscha Kemlein,GER,MF,Union Berlin,Bundesliga,18,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14
1329,1329,Tobias Kempe,HUN,MF,Darmstadt 98,Bundesliga,34,1989,24,15,1350,15,3,2,5,0,3,3,1,0,3.6,1.2,2.1,3.3,15,44,46,0.2,0.13,0.33,0,0.13,0.24,0.14,0.38,0.08,0.22
1330,1330,Milos Kerkez,ENG,DF,Bournemouth,Premier League,19,2003,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2,46,44,93,0,0.05,0.05,0,0.05,0.06,0.04,0.09,0.06,0.09
1331,1331,Kaine Kesler-Hayden,GER,"MF,DF",Aston Villa,Premier League,20,2002,3,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,1332,Reda Khadra,TUN,"FW,MF",Reims,Ligue 1,22,2001,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35,40,110,0.07,0.2,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35
1333,1333,Wahbi Khazri,GER,FW,Montpellier,Ligue 1,32,1991,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27,33,76,0.08,0,0.08,0.08,0.08,0.26,0.1,0.36,0.26,0.36
1334,1334,Rani Khedira,UZB,MF,Union Berlin,Bundesliga,29,1994,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.4,0.4,0.1,0.5,6,35,15,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
1335,1335,Abdukodir Khusanov,ESP,DF,Lens,Ligue 1,19,2004,11,9,809,9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5,23,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
1336,1336,Kiké,GER,"FW,MF",Alavés,La Liga,33,1989,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2,8.9,18,32,97,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56
1337,1337,Luca Kilian,ENG,DF,Köln,Bundesliga,23,1999,13,6,635,7.1,0,0,0,0,0,0,1,0,0,0,0,0,7,12,1,0,0,0,0,0,0,0.01,0.01,0,0.01
1338,1338,Max Kilman,GER,DF,Wolves,Premier League,26,1997,38,38,3420,38,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5,0.05,0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08
1339,1339,Joshua Kimmich,POL,"MF,DF",Bayern Munich,Bundesliga,28,1995,28,27,2176,24.2,1,6,7,1,0,0,1,1,1.1,1.1,7.1,8.3,56,229,114,0.04,0.25,0.29,0.04,0.29,0.05,0.3,0.34,0.05,0.34
1340,1340,Jakub Kiwior,DEN,DF,Arsenal,Premier League,23,2000,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16
1341,1341,Simon Kjær,NED,DF,Milan,Serie A,34,1989,20,14,1171,13,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,4,52,0,0,0.08,0.08,0,0.08,0.04,0.06,0.1,0.04,0.1
1342,1342,Davy Klaassen,AUT,MF,Inter,Serie A,30,1993,13,1,206,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,5,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13
1343,1343,Christoph Klarer,GER,DF,Darmstadt 98,Bundesliga,23,2000,30,28,2354,26.2,2,2,4,2,0,0,9,0,1.2,1.2,0.9,2.1,9,64,11,0.08,0.08,0.15,0.08,0.15,0.05,0.04,0.08,0.05,0.08
1344,1344,Tim Kleindienst,GER,FW,Heidenheim,Bundesliga,27,1995,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,0.38,0.09,0.47,0.31,0.41,0.44,0.1,0.54,0.39,0.49
1345,1345,Lukas Klostermann,NED,DF,RB Leipzig,Bundesliga,27,1996,25,16,1436,16,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.1,14,90,13,0.06,0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
1346,1346,Justin Kluivert,GER,"MF,FW",Bournemouth,Premier League,24,1999,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38
1347,1347,Ansgar Knauff,GER,"MF,DF",Eint Frankfurt,Bundesliga,21,2002,31,24,2109,23.4,7,2,9,7,0,0,7,1,5.7,5.7,2.3,8,77,57,164,0.3,0.09,0.38,0.3,0.38,0.24,0.1,0.34,0.24,0.34
1348,1348,Robin Knoche,SUI,DF,Union Berlin,Bundesliga,31,1992,24,20,1917,21.3,1,0,1,1,0,1,1,0,1.2,0.4,0.3,0.7,2,71,2,0.05,0,0.05,0.05,0.05,0.06,0.01,0.07,0.02,0.03
1349,1349,Gregor Kobel,GER,GK,Dortmund,Bundesliga,25,1997,27,27,2365,26.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,1350,Robin Koch,SUI,DF,Eint Frankfurt,Bundesliga,27,1996,31,31,2738,30.4,2,0,2,2,0,0,10,0,3.1,3.1,0.2,3.3,14,116,3,0.07,0,0.07,0.07,0.07,0.1,0.01,0.11,0.1,0.11
1351,1351,Philipp Köhn,GER,GK,Monaco,Ligue 1,25,1998,22,22,1980,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,1352,Dominik Kohr,ESP,"DF,MF",Mainz 05,Bundesliga,29,1994,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,19,99,26,0.04,0,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12
1353,1353,Koke,BIH,MF,Atlético Madrid,La Liga,31,1992,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.4,0.4,3.6,4.1,26,212,26,0,0.14,0.14,0,0.14,0.02,0.13,0.15,0.02,0.15
1354,1354,Sead Kolašinac,ITA,DF,Atalanta,Serie A,30,1993,30,25,2178,24.2,1,0,1,1,0,0,4,0,1.3,1.3,1.1,2.4,32,94,30,0.04,0,0.04,0.04,0.04,0.06,0.04,0.1,0.06,0.1
1355,1355,Luca Koleosho,FRA,"MF,FW",Burnley,Premier League,18,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2,2,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3
1356,1356,Randal Kolo Muani,FRA,"FW,MF",Paris S-G,Ligue 1,24,1998,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36,42,125,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66
1357,1357,Randal Kolo Muani,GER,FW,Eint Frankfurt,Bundesliga,24,1998,2,2,153,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0,1.3,6,3,9,0.59,0,0.59,0.59,0.59,0.77,0,0.77,0.77,0.77
1358,1358,Mert Kömür,MLI,"MF,DF",Augsburg,Bundesliga,18,2005,4,1,118,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,7,4,9,0.76,0,0.76,0.76,0.76,0.15,0.02,0.17,0.15,0.17
1359,1359,Cheick Konaté,FRA,DF,Clermont Foot,Ligue 1,19,2004,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.5,0.5,1.6,2.1,22,37,86,0.08,0.08,0.17,0.08,0.17,0.04,0.13,0.18,0.04,0.18
1360,1360,Ibrahima Konaté,CTA,DF,Liverpool,Premier League,24,1999,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
1361,1361,Geoffrey Kondogbia,FRA,MF,Marseille,Ligue 1,30,1993,26,15,1463,16.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,7,93,25,0,0,0,0,0,0.02,0.03,0.06,0.02,0.06
1362,1362,Abdoul Koné,MLI,DF,Reims,Ligue 1,18,2005,3,3,193,2.1,0,0,0,0,0,0,1,0,0,0,0.7,0.7,3,5,1,0,0,0,0,0,0,0.3,0.3,0,0.3
1363,1363,Amadou Koné,MLI,MF,Reims,Ligue 1,18,2005,16,4,475,5.3,0,0,0,0,0,0,4,1,0.3,0.3,0.2,0.4,2,28,2,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
