Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
1232,1232,Juan Jesus (Napoli),BRA,DF,Napoli,Serie A,32,1991,23.5,42,19,45,0,0,61,0,0,0,0,0,0,0,0,0,0
1233,1233,Alejandro Jiménez (Milan),ESP,DF,Milan,Serie A,18,2005,0.8,16,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,1234,Raúl Jiménez (Fulham),MEX,FW,Fulham,Premier League,32,1991,15.5,61,45,52,0,85,91,53,69,61,60,0,0,87,-95,0,0
1235,1235,João Pedro (Brighton),BRA,"FW,MF",Brighton,Premier League,21,2001,22.7,95,89,95,0,94,98,99,69,94,88,85,0,96,-95,97,0
1236,1236,Joelinton (Newcastle Utd),BRA,"MF,FW",Newcastle Utd,Premier League,26,1996,14.2,78,80,80,0,92,81,0,0,61,62,59,0,0,-80,0,0
1237,1237,Ryan John Giles (Luton Town),ENG,"DF,MF",Luton Town,Premier League,23,2000,5.6,40,55,38,81,53,0,0,0,0,0,0,0,0,0,0,0
1238,1238,Ben Johnson (West Ham),ENG,"DF,FW",West Ham,Premier League,23,2000,6,35,38,36,0,0,0,71,0,35,57,40,0,0,0,0,0
1239,1239,Brennan Johnson (Tottenham),WAL,FW,Tottenham,Premier League,22,2001,23.2,89,75,91,0,85,91,81,88,96,92,98,0,0,-80,0,96
1240,1240,Brennan Johnson (Nott'ham Forest),WAL,"FW,MF",Nott'ham Forest,Premier League,22,2001,2.6,31,68,24,0,70,43,53,0,61,99,40,0,87,0,85,0
1241,1241,Joseph Johnson (Luton Town),ENG,DF,Luton Town,Premier League,17,2006,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,1242,Sam Johnstone (Crystal Palace),ENG,GK,Crystal Palace,Premier League,30,1993,20,16,12,12,59,0,0,0,0,35,38,0,90,0,0,0,0
1243,1243,Curtis Jones (Liverpool),ENG,MF,Liverpool,Premier League,22,2001,13,70,70,72,0,79,73,53,69,61,65,70,0,0,0,0,0
1244,1244,Frenkie de Jong (Barcelona),NED,MF,Barcelona,La Liga,26,1997,18.2,86,80,91,74,0,43,71,0,90,89,95,0,0,0,0,0
1245,1245,Joan Jordán (Sevilla),ESP,MF,Sevilla,La Liga,29,1994,4.2,39,67,36,59,53,43,53,0,0,0,0,0,0,0,0,0
1246,1246,Jordi (Getafe),ESP,"MF,DF",Getafe,La Liga,22,2001,6.4,39,44,38,0,53,61,0,0,51,76,40,0,0,-80,0,0
1247,1247,Jeremy Jorge (Getafe),ESP,FW,Getafe,La Liga,20,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,1248,Kaio Jorge (Frosinone),BRA,FW,Frosinone,Serie A,21,2002,9,54,60,49,0,53,87,53,69,35,46,0,0,0,0,85,0
1249,1249,Jorginho (Arsenal),ITA,MF,Arsenal,Premier League,31,1991,10.2,61,67,67,0,0,43,0,69,77,89,85,0,0,0,0,0
1250,1250,Willian José (Betis),BRA,FW,Betis,La Liga,31,1991,21.9,75,49,80,0,53,73,0,69,85,77,88,0,0,0,0,96
1251,1251,Joselu (Real Madrid),ESP,FW,Real Madrid,La Liga,33,1990,18.7,65,42,65,0,53,94,0,0,77,71,70,0,0,-95,0,0
1252,1252,Diogo Jota (Liverpool),POR,FW,Liverpool,Premier League,26,1996,12.7,79,86,80,0,89,73,87,0,97,99,91,0,99,-80,97,0
1253,1253,Antoine Joujou (Le Havre),FRA,"FW,MF",Le Havre,Ligue 1,20,2003,8.7,65,84,56,0,89,87,87,0,77,93,70,0,87,0,85,0
1254,1254,Luka Jović (Milan),SRB,FW,Milan,Serie A,25,1997,9.7,52,53,52,0,0,87,0,0,51,62,59,0,0,0,0,0
1255,1255,Kamil Jóźwiak (Granada),POL,MF,Granada,La Liga,25,1998,6.3,51,75,51,0,53,43,71,69,51,77,40,0,0,-80,0,0
1256,1256,Juanmi (Cádiz),ESP,FW,Cádiz,La Liga,30,1993,9.7,52,53,54,0,70,43,53,0,35,45,40,0,0,0,0,0
1257,1257,Juanpe (Girona),ESP,DF,Girona,La Liga,32,1991,8.3,16,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,1258,Mads Juel Andersen (Luton Town),DEN,DF,Luton Town,Premier League,25,1997,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,1259,Christopher Jullien (Montpellier),FRA,DF,Montpellier,Ligue 1,30,1993,13.7,38,23,38,0,0,43,0,69,35,40,40,0,0,0,0,0
1260,1260,Anthony Jung (Werder Bremen),GER,DF,Werder Bremen,Bundesliga,31,1991,28.7,59,26,63,74,0,0,53,0,35,35,40,0,0,0,0,0
1261,1261,Eli Junior Kroupi (Lorient),FRA,"FW,MF",Lorient,Ligue 1,17,2006,12,52,42,49,81,79,43,0,0,61,68,59,0,87,0,0,0
1262,1262,Hamed Junior Traorè (Bournemouth),CIV,MF,Bournemouth,Premier League,23,2000,0.5,23,98,12,0,70,43,0,0,0,0,0,0,0,0,0,0
1263,1263,Hamed Junior Traorè (Napoli),CIV,MF,Napoli,Serie A,23,2000,4.2,47,86,49,0,70,43,0,0,0,0,0,0,0,0,0,0
1264,1264,Vinicius Júnior (Real Madrid),BRA,FW,Real Madrid,La Liga,23,2000,20.7,92,87,85,59,100,96,94,88,92,88,85,0,87,-99,0,96
1265,1265,Josip Juranović (Union Berlin),CRO,DF,Union Berlin,Bundesliga,27,1995,14.4,86,91,54,99,53,61,53,0,71,72,0,98,0,0,85,0
1266,1266,David Jurásek (Hoffenheim),CZE,DF,Hoffenheim,Bundesliga,22,2000,5.5,39,51,38,74,0,43,0,0,61,91,40,90,0,-80,0,0
1267,1267,Julian Justvan (Hoffenheim),GER,"FW,MF",Hoffenheim,Bundesliga,25,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,1268,Julian Justvan (Darmstadt 98),GER,"MF,FW",Darmstadt 98,Bundesliga,25,1998,11.4,78,89,74,91,89,61,53,0,51,58,59,0,0,0,0,0
1269,1269,Filip Jørgensen (Villarreal),DEN,GK,Villarreal,La Liga,21,2002,36,16,11,12,59,0,0,0,0,35,35,40,0,0,0,0,0
1270,1270,Mathias Jørgensen (Brentford),DEN,DF,Brentford,Premier League,33,1990,12.1,40,29,45,0,0,43,0,0,0,0,0,0,0,0,0,0
1271,1271,Mohamed Kaba (Lecce),FRA,MF,Lecce,Serie A,21,2001,15.3,65,52,72,0,0,61,53,0,0,0,0,0,0,0,0,0
1272,1272,Sory Kaba (Las Palmas),GUI,FW,Las Palmas,La Liga,28,1995,8,44,45,47,0,53,43,0,0,35,49,40,0,0,0,0,0
1273,1273,Ozan Kabak (Hoffenheim),TUR,DF,Hoffenheim,Bundesliga,23,2000,25.4,55,26,52,0,79,73,53,0,51,42,40,0,87,0,0,0
1274,1274,Christian Kabasele (Udinese),BEL,DF,Udinese,Serie A,32,1991,9.6,26,19,24,0,0,43,0,69,0,0,0,0,0,0,0,0
1275,1275,Issa Kaboré (Luton Town),BFA,DF,Luton Town,Premier League,22,2001,19.2,66,43,67,0,70,61,53,88,71,62,70,0,0,-80,0,0
1276,1276,Abdoul Kader Bamba (Nantes),FRA,"FW,MF",Nantes,Ligue 1,29,1994,6.8,70,95,63,81,70,73,94,0,61,86,59,90,0,0,0,0
1277,1277,Yaya Kader Fofana (Reims),MLI,"MF,DF",Reims,Ligue 1,19,2004,0.4,16,96,0,0,53,43,0,0,0,0,0,0,0,0,0,0
1278,1278,Pavel Kadeřábek (Hoffenheim),CZE,"DF,FW",Hoffenheim,Bundesliga,31,1992,26.8,86,59,91,74,0,73,53,0,77,60,85,0,0,0,0,0
1279,1279,Tino Kadewere (Lyon),ZIM,"FW,MF",Lyon,Ligue 1,27,1996,3.3,35,69,38,0,0,0,53,0,35,74,40,0,0,0,0,0
1280,1280,Tino Kadewere (Nantes),ZIM,"FW,MF",Nantes,Ligue 1,27,1996,8.7,54,62,57,0,53,43,53,0,35,49,40,0,0,0,0,0
1281,1281,Kaiky (Almería),BRA,DF,Almería,La Liga,19,2004,5.8,20,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,1282,Florian Kainz (Köln),AUT,"MF,FW",Köln,Bundesliga,30,1992,24.4,96,89,93,99,89,43,71,0,88,78,85,96,87,0,0,0
1283,1283,Sasa Kalajdzic (Wolves),AUT,FW,Wolves,Premier League,26,1997,1.8,26,69,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,1284,Sasa Kalajdzic (Eint Frankfurt),AUT,FW,Eint Frankfurt,Bundesliga,26,1997,3.6,33,57,33,0,0,43,53,0,51,91,40,0,0,-80,0,0
1285,1285,Arnaud Kalimuendo (Rennes),FRA,FW,Rennes,Ligue 1,21,2002,23.8,89,74,89,59,89,91,99,0,85,73,70,0,0,-80,99,0
1286,1286,Yayah Kallon (Hellas Verona),SLE,FW,Hellas Verona,Serie A,22,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,1287,Gedeon Kalulu (Lorient),COD,DF,Lorient,Ligue 1,25,1997,10.8,48,40,52,0,0,43,0,69,61,72,59,0,0,-80,0,0
1288,1288,Pierre Kalulu (Milan),FRA,DF,Milan,Serie A,23,2000,4.2,28,37,30,0,0,43,0,0,0,0,0,0,0,0,0,0
1289,1289,Daichi Kamada (Lazio),JPN,MF,Lazio,Serie A,26,1996,17.2,78,70,78,0,89,73,81,88,51,49,40,0,0,-80,0,0
1290,1290,Waren Kamanzi (Toulouse),NOR,"DF,FW",Toulouse,Ligue 1,22,2000,13.2,56,45,59,74,0,43,0,69,61,65,70,0,0,0,0,0
1291,1291,Boubacar Kamara (Aston Villa),FRA,MF,Aston Villa,Premier League,23,1999,18.4,72,54,77,0,0,61,53,88,61,55,70,0,0,0,0,0
1292,1292,Hassane Kamara (Udinese),CIV,DF,Udinese,Serie A,29,1994,24.7,81,53,84,74,79,61,53,88,77,61,79,0,0,-80,0,0
1293,1293,Willy Kambwala (Manchester Utd),FRA,DF,Manchester Utd,Premier League,18,2004,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,1294,Jakub Kamiński (Wolfsburg),POL,"FW,MF",Wolfsburg,Bundesliga,21,2002,5.3,31,35,36,0,0,0,0,0,51,82,59,0,0,0,0,0
1295,1295,Thomas Kaminski (Luton Town),BEL,GK,Luton Town,Premier League,30,1992,37.8,20,11,19,59,0,0,0,0,0,0,0,0,0,0,0,0
1296,1296,Kevin Kampl (RB Leipzig),SVN,MF,RB Leipzig,Bundesliga,32,1990,15.1,72,65,77,0,70,43,53,69,61,61,70,0,0,0,0,0
1297,1297,Harry Kane (Bayern Munich),ENG,FW,Bayern Munich,Bundesliga,30,1993,31.5,93,67,91,74,94,100,97,0,94,79,93,90,0,-95,0,0
1298,1298,Lee Kang-in (Paris S-G),KOR,"FW,MF",Paris S-G,Ligue 1,22,2001,16.3,89,90,88,94,89,73,0,0,90,91,91,90,87,0,0,0
1299,1299,Yann Karamoh (Torino),FRA,"MF,FW",Torino,Serie A,25,1998,1.8,23,58,19,0,53,0,53,0,51,99,40,0,0,0,85,0
1300,1300,Yann Karamoh (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,25,1998,3.2,35,72,33,0,53,43,53,0,35,77,0,0,0,-80,0,0
1301,1301,Atakan Karazor (Stuttgart),GER,MF,Stuttgart,Bundesliga,26,1996,29.1,84,50,89,0,0,61,53,99,77,57,85,0,0,0,0,0
1302,1302,Ayman Kari (Lorient),FRA,MF,Lorient,Ligue 1,18,2004,9.9,68,80,73,0,53,43,71,0,61,74,70,0,0,0,0,0
1303,1303,Emir Karic (Darmstadt 98),AUT,DF,Darmstadt 98,Bundesliga,26,1997,19.8,78,61,84,59,79,0,0,88,51,45,59,0,0,0,0,0
1304,1304,Loris Karius (Newcastle Utd),GER,GK,Newcastle Utd,Premier League,30,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,1305,Jesper Karlsson (Bologna),SWE,FW,Bologna,Serie A,25,1998,3.8,39,73,36,81,0,43,0,0,0,0,0,0,0,0,0,0
1306,1306,Jon Karrikaburu (Alavés),ESP,"MF,FW",Alavés,La Liga,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,1307,Rick Karsdorp (Roma),NED,DF,Roma,Serie A,28,1995,13.2,55,42,60,59,0,0,53,0,61,64,59,0,0,0,85,0
1308,1308,Grigoris Kastanos (Salernitana),CYP,"MF,DF",Salernitana,Serie A,25,1998,16.4,84,82,78,95,53,61,91,0,82,80,59,96,0,-80,85,0
1309,1309,Silas Katompa (Stuttgart),COD,"FW,MF",Stuttgart,Bundesliga,24,1998,10,75,90,67,0,98,61,87,0,85,95,59,0,99,-80,85,0
1310,1310,Panos Katseris (Lorient),GRE,DF,Lorient,Ligue 1,22,2001,11.6,52,44,52,0,53,61,53,69,61,70,59,0,0,-80,0,0
1311,1311,Mikkel Kaufmann (Union Berlin),DEN,FW,Union Berlin,Bundesliga,22,2001,5.4,40,57,41,0,70,43,0,0,35,58,0,0,87,0,0,0
1312,1312,Michael Kayode (Fiorentina),ITA,DF,Fiorentina,Serie A,19,2004,22.9,68,37,69,89,0,0,0,69,51,43,59,0,0,0,0,0
1313,1313,Moise Kean (Juventus),ITA,FW,Juventus,Serie A,23,2000,7.3,44,49,36,0,89,43,0,69,35,52,0,0,0,-80,0,0
1314,1314,Michael Keane (Everton),ENG,DF,Everton,Premier League,30,1993,4.9,23,25,24,0,0,43,0,0,35,62,0,0,0,-80,0,0
1315,1315,Ibrahima Kebe (Girona),MLI,MF,Girona,La Liga,22,2000,0.1,11,99,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,1316,Kévin Keben Biakolo (Toulouse),CMR,DF,Toulouse,Ligue 1,19,2004,5.8,23,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,1317,Yassine Kechta (Le Havre),MAR,MF,Le Havre,Ligue 1,21,2002,20.5,78,59,82,74,0,61,87,0,51,45,40,0,0,-80,0,0
1318,1318,Thilo Kehrer (West Ham),GER,"DF,MF",West Ham,Premier League,26,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,1319,Thilo Kehrer (Monaco),GER,DF,Monaco,Ligue 1,26,1996,14.7,51,34,49,59,0,87,0,0,71,71,70,0,0,-80,0,0
1320,1320,Habib Keita (Clermont Foot),MLI,MF,Clermont Foot,Ligue 1,21,2002,14.2,62,50,66,0,53,61,53,0,35,40,40,0,0,0,0,0
1321,1321,Naby Keïta (Werder Bremen),GUI,"MF,DF",Werder Bremen,Bundesliga,28,1995,1.2,16,42,19,0,0,0,0,0,35,97,40,0,0,0,0,0
1322,1322,Yannik Keitel (Freiburg),GER,"DF,MF",Freiburg,Bundesliga,23,2000,10.2,39,31,43,0,0,43,0,0,51,61,40,0,0,-80,0,0
1323,1323,Caoimhín Kelleher (Liverpool),IRL,GK,Liverpool,Premier League,24,1998,10,16,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,1324,Thomas Keller (Heidenheim),GER,"MF,FW",Heidenheim,Bundesliga,23,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,1325,Lloyd Kelly (Bournemouth),ENG,DF,Bournemouth,Premier League,24,1998,17.3,63,43,66,74,53,0,53,69,61,57,70,0,0,0,0,0
1326,1326,Omari Kellyman (Aston Villa),ENG,FW,Aston Villa,Premier League,17,2005,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,1327,Aljoscha Kemlein (Union Berlin),GER,MF,Union Berlin,Bundesliga,18,2004,0.3,11,77,0,0,53,0,0,0,0,0,0,0,0,0,0,0
1328,1328,Tobias Kempe (Darmstadt 98),GER,MF,Darmstadt 98,Bundesliga,34,1989,15,84,87,72,97,53,73,71,69,88,91,79,96,0,0,97,0
1329,1329,Milos Kerkez (Bournemouth),HUN,DF,Bournemouth,Premier League,19,2003,21.9,66,38,67,0,0,81,71,69,71,58,59,0,0,0,85,96
1330,1330,Kaine Kesler-Hayden (Aston Villa),ENG,"MF,DF",Aston Villa,Premier League,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,1331,Reda Khadra (Reims),GER,"FW,MF",Reims,Ligue 1,22,2001,15.2,78,76,77,59,92,87,53,0,85,87,79,0,99,0,0,0
1332,1332,Wahbi Khazri (Montpellier),TUN,FW,Montpellier,Ligue 1,32,1991,12.6,60,54,52,59,85,61,87,0,51,55,40,0,0,-80,0,0
1333,1333,Rani Khedira (Union Berlin),GER,MF,Union Berlin,Bundesliga,29,1994,14.9,33,19,33,0,0,43,0,69,0,0,0,0,0,0,0,0
1334,1334,Abdukodir Khusanov (Lens),UZB,DF,Lens,Ligue 1,19,2004,9,28,22,24,0,0,0,53,88,0,0,0,0,0,0,0,0
1335,1335,Kiké (Alavés),ESP,"FW,MF",Alavés,La Liga,33,1989,15.8,73,65,69,0,89,81,91,0,82,82,70,0,96,0,85,0
1336,1336,Luca Kilian (Köln),GER,DF,Köln,Bundesliga,23,1999,7.1,20,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,1337,Max Kilman (Wolves),ENG,DF,Wolves,Premier League,26,1997,38,72,30,78,0,70,61,0,69,0,0,0,0,0,0,0,0
1338,1338,Joshua Kimmich (Bayern Munich),GER,"MF,DF",Bayern Munich,Bundesliga,28,1995,24.2,98,95,97,100,70,61,53,69,94,87,88,98,87,-80,0,0
1339,1339,Jakub Kiwior (Arsenal),POL,DF,Arsenal,Premier League,23,2000,10.5,42,33,43,74,0,0,53,0,71,82,70,90,0,0,0,0
1340,1340,Simon Kjær (Milan),DEN,DF,Milan,Serie A,34,1989,13,35,22,36,0,0,43,53,0,35,42,40,0,0,0,0,0
1341,1341,Davy Klaassen (Inter),NED,MF,Inter,Serie A,30,1993,2.3,26,56,30,0,0,0,0,0,51,98,59,0,0,0,0,0
1342,1342,Christoph Klarer (Darmstadt 98),AUT,DF,Darmstadt 98,Bundesliga,23,2000,26.2,55,25,59,59,0,61,0,0,51,42,59,0,0,0,0,0
1343,1343,Tim Kleindienst (Heidenheim),GER,FW,Heidenheim,Bundesliga,27,1995,31.9,90,57,91,0,85,97,53,96,94,79,93,0,87,-80,85,0
1344,1344,Lukas Klostermann (RB Leipzig),GER,DF,RB Leipzig,Bundesliga,27,1996,16,44,26,49,0,0,43,0,0,0,0,0,0,0,0,0,0
1345,1345,Justin Kluivert (Bournemouth),NED,"MF,FW",Bournemouth,Premier League,24,1999,21.3,85,70,80,0,96,91,87,96,77,65,70,0,87,0,0,96
1346,1346,Ansgar Knauff (Eint Frankfurt),GER,"MF,DF",Eint Frankfurt,Bundesliga,21,2002,23.4,86,67,90,0,92,61,0,88,82,70,85,0,0,0,0,96
1347,1347,Robin Knoche (Union Berlin),GER,DF,Union Berlin,Bundesliga,31,1992,21.3,42,20,41,59,0,73,0,0,0,0,0,0,0,0,0,0
1348,1348,Gregor Kobel (Dortmund),SUI,GK,Dortmund,Bundesliga,25,1997,26.3,23,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,1349,Robin Koch (Eint Frankfurt),GER,DF,Eint Frankfurt,Bundesliga,27,1996,30.4,49,20,52,0,0,73,0,0,61,45,70,0,0,0,0,0
1350,1350,Philipp Köhn (Monaco),SUI,GK,Monaco,Ligue 1,25,1998,22,20,13,19,0,0,0,0,69,0,0,0,0,0,0,0,0
1351,1351,Dominik Kohr (Mainz 05),GER,"DF,MF",Mainz 05,Bundesliga,29,1994,24.3,62,32,63,0,70,81,0,0,0,0,0,0,0,0,0,0
1352,1352,Koke (Atlético Madrid),ESP,MF,Atlético Madrid,La Liga,31,1992,27.7,84,53,90,81,0,43,0,69,94,84,98,0,0,0,0,0
1353,1353,Sead Kolašinac (Atalanta),BIH,DF,Atalanta,Serie A,30,1993,24.2,58,29,57,0,79,61,53,0,35,37,40,0,0,0,0,0
1354,1354,Luca Koleosho (Burnley),ITA,"MF,FW",Burnley,Premier League,18,2004,10.8,62,66,47,0,98,61,81,0,82,92,59,0,99,0,85,0
1355,1355,Randal Kolo Muani (Paris S-G),FRA,"FW,MF",Paris S-G,Ligue 1,24,1998,14.1,80,83,82,0,79,73,91,0,88,92,91,0,87,0,0,0
1356,1356,Randal Kolo Muani (Eint Frankfurt),FRA,FW,Eint Frankfurt,Bundesliga,24,1998,1.7,11,20,0,0,0,43,0,0,0,0,0,0,0,0,0,0
1357,1357,Mert Kömür (Augsburg),GER,"MF,DF",Augsburg,Bundesliga,18,2005,1.3,26,87,19,59,0,0,71,0,0,0,0,0,0,0,0,0
1358,1358,Cheick Konaté (Clermont Foot),MLI,DF,Clermont Foot,Ligue 1,19,2004,11.9,63,62,67,0,79,43,0,0,51,57,59,0,0,0,0,0
1359,1359,Ibrahima Konaté (Liverpool),FRA,DF,Liverpool,Premier League,24,1999,17.5,58,36,66,0,0,0,0,0,35,39,40,0,0,0,0,0
1360,1360,Geoffrey Kondogbia (Marseille),CTA,MF,Marseille,Ligue 1,30,1993,16.3,61,42,62,0,0,43,87,69,61,58,70,0,0,0,0,0
1361,1361,Abdoul Koné (Reims),FRA,DF,Reims,Ligue 1,18,2005,2.1,16,28,12,0,0,0,53,0,51,98,40,0,0,0,85,0
1362,1362,Amadou Koné (Reims),MLI,MF,Reims,Ligue 1,18,2005,5.3,28,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,1363,Ibrahima Koné (Almería),MLI,FW,Almería,La Liga,24,1999,3.1,26,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,1364,Ibrahima Koné (Lorient),MLI,FW,Lorient,Ligue 1,24,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,1365,Manu Koné (Gladbach),FRA,MF,Gladbach,Bundesliga,22,2001,17.3,85,82,84,0,94,91,87,0,61,57,0,0,0,-95,85,0
1366,1366,Ezri Konsa (Aston Villa),ENG,DF,Aston Villa,Premier League,25,1997,34.1,68,29,67,59,70,61,81,69,82,58,70,90,0,0,85,96
1367,1367,Teun Koopmeiners (Atalanta),NED,MF,Atalanta,Serie A,25,1998,29.2,98,90,99,97,92,61,53,0,95,84,98,90,0,0,0,0
1368,1368,Odilon Kossonou (Leverkusen),CIV,DF,Leverkusen,Bundesliga,22,2001,20.1,68,42,75,0,70,0,0,0,61,53,70,0,0,0,0,0
1369,1369,Filip Kostić (Juventus),SRB,DF,Juventus,Serie A,30,1992,20.2,90,83,84,97,0,94,0,0,77,68,59,96,0,-80,0,0
1370,1370,Christian Kouamé (Fiorentina),CIV,FW,Fiorentina,Serie A,25,1997,12.1,70,75,73,0,0,61,91,0,51,57,59,0,0,0,0,0
1371,1371,Rominigue Kouamé (Cádiz),MLI,MF,Cádiz,La Liga,26,1996,9.1,44,39,47,0,0,61,0,0,0,0,0,0,0,0,0,0
1372,1372,Koffi Kouao (Metz),CIV,DF,Metz,Ligue 1,25,1998,9.6,42,35,38,74,0,43,53,69,51,62,40,0,0,-80,0,0
1373,1373,Tomáš Koubek (Augsburg),CZE,GK,Augsburg,Bundesliga,30,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,1374,Therence Koudou (Reims),FRA,DF,Reims,Ligue 1,18,2004,3.5,44,89,45,59,53,0,53,0,35,73,40,0,0,0,0,0
1375,1375,Jules Koundé (Barcelona),FRA,DF,Barcelona,La Liga,24,1998,32.2,87,49,91,74,0,81,53,0,90,72,95,0,0,0,0,0
1376,1376,Boubakar Kouyaté (Montpellier),MLI,DF,Montpellier,Ligue 1,26,1997,21.4,39,18,33,0,0,81,53,0,51,43,40,0,0,-80,0,0
1377,1377,Cheikhou Kouyaté (Nott'ham Forest),SEN,MF,Nott'ham Forest,Premier League,33,1989,2.4,33,82,30,0,0,61,0,69,35,85,40,0,0,0,0,0
1378,1378,Mateo Kovačić (Manchester City),CRO,MF,Manchester City,Premier League,29,1994,17.2,83,77,87,0,70,81,53,0,82,79,85,0,0,-80,0,0
1379,1379,Viktor Kovalenko (Empoli),UKR,MF,Empoli,Serie A,27,1996,6.8,47,60,43,81,0,0,81,0,35,53,40,0,0,0,0,0
1380,1380,Matej Kovar (Leverkusen),CZE,GK,Leverkusen,Bundesliga,23,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,1381,Dawid Kownacki (Werder Bremen),POL,FW,Werder Bremen,Bundesliga,26,1997,4.2,48,89,38,0,53,87,81,0,51,88,40,0,0,0,85,0
1382,1382,Emil Krafth (Newcastle Utd),SWE,DF,Newcastle Utd,Premier League,28,1994,10.1,49,46,49,81,53,0,53,0,35,45,40,0,0,0,0,0
1383,1383,Alex Král (Union Berlin),CZE,MF,Union Berlin,Bundesliga,25,1998,15.2,56,39,52,74,70,43,53,88,0,0,0,0,0,0,0,0
1384,1384,Andrej Kramarić (Hoffenheim),CRO,"MF,FW",Hoffenheim,Bundesliga,32,1991,24.4,99,96,98,99,94,73,87,69,98,94,98,90,96,0,85,0
1385,1385,Christoph Kramer (Gladbach),GER,MF,Gladbach,Bundesliga,32,1991,2.8,26,46,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,1386,Frans Krätzig (Bayern Munich),GER,DF,Bayern Munich,Bundesliga,20,2003,0.6,16,78,12,0,0,43,0,0,0,0,0,0,0,0,0,0
1387,1387,Tom Krauß (Mainz 05),GER,MF,Mainz 05,Bundesliga,22,2001,15,55,38,57,0,0,43,81,0,61,61,59,0,0,0,85,0
1388,1388,Rasmus Kristensen (Roma),DEN,DF,Roma,Serie A,26,1997,19.4,62,37,62,81,79,0,53,0,61,53,59,0,0,0,85,0
1389,1389,Thomas Kristensen (Udinese),DEN,DF,Udinese,Serie A,21,2002,23.3,46,21,41,59,0,81,0,69,61,50,59,0,0,-80,0,0
1390,1390,Toni Kroos (Real Madrid),GER,MF,Real Madrid,La Liga,33,1990,23.6,96,91,94,99,0,81,53,0,94,88,88,99,0,0,0,0
1391,1391,Nikola Krstović (Lecce),MNE,FW,Lecce,Serie A,23,2000,26.4,92,74,94,0,85,87,97,69,71,53,70,0,0,-80,0,0
1392,1392,Rade Krunić (Milan),BIH,MF,Milan,Serie A,29,1993,7.6,38,34,41,59,0,0,0,0,0,0,0,0,0,0,0,0
1393,1393,Lukas Kübler (Freiburg),GER,DF,Freiburg,Bundesliga,30,1992,20.5,44,22,43,74,0,0,71,0,51,45,59,0,0,0,0,0
1394,1394,Takefusa Kubo (Real Sociedad),JPN,"FW,MF",Real Sociedad,La Liga,22,2001,23.9,97,93,95,97,97,87,94,0,85,73,79,96,87,0,0,0
1395,1395,Mohammed Kudus (West Ham),GHA,"FW,MF",West Ham,Premier League,22,2000,27.6,96,85,91,59,100,96,99,69,98,93,93,0,99,-99,97,0
1396,1396,Christian Kühlwetter (Heidenheim),GER,MF,Heidenheim,Bundesliga,27,1996,0.1,11,99,12,0,0,0,0,0,35,100,40,0,0,0,0,0
1397,1397,Dejan Kulusevski (Tottenham),SWE,"FW,MF",Tottenham,Premier League,23,2000,30.7,98,90,99,59,96,99,0,88,88,70,88,0,87,0,0,96
1398,1398,Sael Kumbedi (Lyon),FRA,DF,Lyon,Ligue 1,18,2005,10.3,47,40,52,0,53,0,0,0,51,60,59,0,0,0,0,0
1399,1399,Marash Kumbulla (Sassuolo),ALB,DF,Sassuolo,Serie A,23,2000,4,11,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0
