Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
78,78,Tadeo Allende (Celta Vigo),ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,24,19,21,29,39,43,24,42,37,27,45,61,24,27,25,42,32,36,39,55,25,53
79,79,Jim Allevinah (Clermont Foot),GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,68,66,66,69,84,88,68,93,91,37,94,73,78,91,88,96,94,87,93,88,71,88
80,80,Domingos André Ribeiro Almeida (Valencia),POR,"FW,MF",Valencia,La Liga,23,2000,10.7,45,37,40,51,66,52,45,73,73,45,71,43,45,51,51,68,78,73,65,76,48,58
81,81,Miguel Almirón (Newcastle Utd),PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,69,52,54,68,90,93,69,89,87,43,87,45,74,83,83,95,90,93,78,88,75,93
82,82,Pontus Almqvist (Lecce),SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,58,36,48,60,84,91,58,96,95,31,96,55,63,79,77,94,91,97,95,95,63,90
83,83,Marcos Alonso (Barcelona),ESP,DF,Barcelona,La Liga,32,1990,2.8,31,29,36,34,46,34,31,37,37,54,33,25,31,31,33,46,49,49,20,35,31,58
84,84,Adrià Altimira (Villarreal),ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,47,62,63,54,45,21,47,57,67,87,45,16,42,42,44,44,39,0,36,45,45,44
85,85,Sergi Altimira (Betis),ESP,MF,Betis,La Liga,21,2001,6.3,39,49,45,50,40,32,39,49,51,69,50,53,39,38,37,44,32,0,39,58,42,35
86,86,Edson Álvarez (West Ham),MEX,MF,West Ham,Premier League,25,1997,26.4,88,88,87,90,65,52,88,84,91,82,75,25,86,88,82,62,78,36,85,91,84,53
87,87,Gastón Álvarez (Getafe),URU,DF,Getafe,La Liga,23,2000,28.2,80,85,84,83,62,60,81,64,62,39,68,73,67,61,62,46,54,0,74,60,68,62
88,88,Hugo Álvarez (Celta Vigo),ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,46,43,46,45,74,71,46,73,78,71,68,36,48,51,58,79,60,90,56,68,48,78
89,89,Julián Álvarez (Manchester City),ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,87,47,48,71,100,98,87,84,84,51,87,73,87,83,80,92,95,95,94,94,90,96
90,90,Yeray Álvarez (Athletic Club),ESP,DF,Athletic Club,La Liga,28,1995,12.8,60,68,76,69,29,34,60,27,30,83,23,25,57,63,76,50,47,36,39,0,58,21
91,91,Skelly Alvero (Lyon),FRA,MF,Lyon,Ligue 1,21,2002,4.7,31,31,31,40,38,32,31,40,43,73,33,20,35,33,30,27,32,0,39,52,32,42
92,92,Skelly Alvero (Werder Bremen),FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,20,21,24,27,25,32,20,23,30,93,0,0,20,22,22,17,29,0,20,21,20,32
93,93,Papa Amadou Diallo (Metz),SEN,FW,Metz,Ligue 1,19,2004,9.9,40,45,46,44,57,63,40,85,78,27,89,82,42,50,49,69,65,68,76,58,38,73
94,94,Selim Amallah (Valencia),MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,34,29,33,38,52,52,34,84,82,39,77,32,34,35,32,37,56,49,77,73,34,60
95,95,Amath (Mallorca),SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,28,27,27,31,47,59,28,69,58,18,77,84,28,33,37,61,44,81,67,55,28,56
96,96,Lorenzo Amatucci (Fiorentina),ITA,MF,Fiorentina,Serie A,19,2004,0.2,10,0,3,16,20,16,10,0,0,0,0,0,9,8,7,17,0,0,0,0,10,15
97,97,Jordan Amavi (Brest),FRA,DF,Brest,Ligue 1,29,1994,1,16,21,20,25,18,0,16,23,21,54,23,61,17,19,15,0,18,0,13,21,14,15
98,98,Zeki Amdouni (Burnley),SUI,FW,Burnley,Premier League,22,2000,21.7,59,51,45,64,82,88,59,96,92,18,97,75,60,69,72,92,81,92,97,92,60,82
99,99,Kelvin Amian (Nantes),FRA,DF,Nantes,Ligue 1,25,1998,8.9,41,59,53,45,50,27,41,40,37,39,45,80,41,43,43,48,49,0,47,52,38,49
100,100,Bruno Amione (Hellas Verona),ARG,DF,Hellas Verona,Serie A,21,2002,6.4,37,49,60,41,22,34,37,23,21,54,23,61,36,34,34,23,29,0,39,21,34,21
101,101,Michael Amir Murillo (Marseille),PAN,DF,Marseille,Ligue 1,27,1996,11.1,55,64,61,63,61,53,55,62,70,81,57,34,61,56,49,34,51,58,42,55,55,68
102,102,Nadiem Amiri (Mainz 05),GER,MF,Mainz 05,Bundesliga,26,1996,14.6,67,55,56,74,83,50,67,90,89,46,89,49,60,59,57,56,76,68,67,80,61,50
103,103,Nadiem Amiri (Leverkusen),GER,MF,Leverkusen,Bundesliga,26,1996,1,22,15,14,29,35,21,22,37,21,7,45,89,19,20,24,32,32,36,20,0,24,32
104,104,Kofi Amoako (Wolfsburg),GER,MF,Wolfsburg,Bundesliga,18,2005,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,105,Sofyan Amrabat (Manchester Utd),MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,58,66,65,69,53,16,58,46,51,77,33,12,62,58,53,34,44,0,42,63,62,38
106,106,Joachim Andersen (Crystal Palace),DEN,DF,Crystal Palace,Premier League,27,1996,37.9,99,96,99,97,56,80,99,67,75,79,54,19,97,96,98,63,51,0,47,48,97,38
107,107,Elliot Anderson (Newcastle Utd),SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,51,50,49,54,74,81,51,85,85,53,82,44,52,57,61,80,73,64,76,83,52,74
108,108,Felipe Anderson (Lazio),BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,91,64,69,88,98,94,91,97,96,34,98,71,86,90,91,98,96,95,97,92,94,98
109,109,Benjamin André (Lille),FRA,MF,Lille,Ligue 1,32,1990,28.6,97,83,84,99,77,71,97,67,64,42,73,80,99,98,94,61,88,36,77,83,97,60
110,110,Komnen Andrić (Clermont Foot),SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,18,15,7,25,31,24,18,34,30,32,40,84,20,18,11,0,32,36,39,48,20,52
111,111,Robert Andrich (Leverkusen),GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,89,69,74,95,76,52,89,51,55,75,45,25,86,79,78,62,84,36,51,52,93,43
112,112,Miguel Ángel Rubio (Granada),ESP,DF,Granada,La Liga,25,1998,17.3,67,86,87,64,28,53,67,40,47,88,23,10,62,62,70,37,36,0,44,28,63,15
113,113,Angeliño (Roma),ESP,DF,Roma,Serie A,26,1997,12.7,61,71,72,62,65,34,61,52,51,48,54,55,56,51,51,48,56,0,42,48,60,69
114,114,Fabrizio Angileri (Getafe),ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,22,29,28,27,31,16,22,31,30,54,23,16,20,17,16,23,24,0,13,0,20,32
115,115,Jaidon Anthony (Bournemouth),ENG,FW,Bournemouth,Premier League,23,1999,1.7,16,15,18,21,27,27,16,37,30,18,40,61,15,14,15,23,24,0,31,28,16,37
116,116,Waldemar Anton (Stuttgart),GER,DF,Stuttgart,Bundesliga,27,1996,32.1,100,95,98,100,56,73,100,65,76,86,57,24,99,100,100,81,67,68,76,66,99,44
117,117,Michail Antonio (West Ham),JAM,FW,West Ham,Premier League,33,1990,18.8,46,29,33,48,74,85,46,92,92,49,90,44,50,58,57,86,64,92,97,95,51,85
118,118,Antony (Manchester Utd),BRA,FW,Manchester Utd,Premier League,23,2000,14.7,60,43,48,57,89,85,60,94,90,25,93,55,66,76,78,89,86,94,73,80,64,92
119,119,Christopher Antwi-Adjei (Bochum),GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,50,34,40,43,85,83,50,79,55,8,89,91,48,56,57,87,71,91,79,86,50,91
120,120,Houssem Aouar (Roma),ALG,"MF,FW",Roma,Serie A,25,1998,8.4,42,19,33,50,59,67,42,64,67,66,57,25,44,43,43,58,60,76,58,73,44,71
121,121,Stredair Appuah (Nantes),FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,12,10,12,18,22,24,12,37,43,83,33,25,13,15,16,27,18,36,28,21,13,21
122,122,Mauro Arambarri (Getafe),URU,MF,Getafe,La Liga,27,1995,3.8,27,33,26,36,34,32,27,37,30,18,45,89,27,26,25,23,39,0,31,45,25,32
123,123,Jon Aramburu (Real Sociedad),VEN,DF,Real Sociedad,La Liga,21,2002,6,39,49,45,47,47,24,39,40,30,14,45,80,34,30,32,34,49,0,34,48,36,53
124,124,Asaf Arania (Darmstadt 98),ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,3,0,0,5,14,0,3,0,0,0,0,0,2,4,5,0,18,0,0,0,4,21
125,125,Julian Araujo (Las Palmas),MEX,DF,Las Palmas,La Liga,21,2001,16.2,69,77,73,76,62,49,69,63,70,77,54,22,62,51,53,66,62,58,77,28,63,66
